sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
113,Can't go anywhere without an inhaler.,An inhaler has to accompany me wherever I move.,Nowhere is reachable unless a bronchodilator is in hand.,It’s a bronchodilator that I can’t depart from for any trip.,There’s no place I can visit without carrying a respiratory spray.,My departure anywhere depends on possessing an aerosol inhaler.,"Without a wheeze-relief device, any journey is impossible.","Wherever I head, a pocket inhaler must be taken along.",A breath-assist canister is required before I can set off anywhere.,Going anyplace necessitates that I have a bronchial inhaler.,It’s impossible to travel if a respiratory inhaler isn’t present.
114,"Carefully though, he packed them away.",They were stowed away cautiously by him.,"With caution, he stashed them.",It was with care that he tucked them aside.,"He gently tucked them into storage, taking his time.","With deliberate care, he stowed them out of sight.",What he did was gently stash them.,"Them, he gently packed away.",He gently stowed them with great care.,He stowed the items with deliberate care.,He saw to it that they were gently stowed.
115,Carve one in your chosen medium.,Let a single piece be sculpted in whatever material you select.,The medium you favor is where one item ought to be chiseled.,It is one object that you should engrave in your preferred material.,There should be one figure incised in the substance you’ve picked.,Your chosen material must have one form etched into it.,One creation needs to be cut in whichever medium you decide on.,What deserves carving is a solitary item in your selected substance.,"In the material of your choice, a single piece is to be sculpted.",The act of incising one item should occur in your favored medium.,Ensure that one shape gets chiseled in the substance you opt for.
116,"Cattle, wagons, horses, all going west.","Westward were driven oxen, carts, and steeds.","It was toward the sunset that livestock, conveyances, and mounts all moved.","There was a west-bound stream of cows, wains, and equines.","Beasts, drays, and saddle-creatures—all headed for the western horizon.","Heading to the far side, cattle, wagons, and horses advanced.","The direction taken by bovines, carriages, and nags was west.","A westward trek was undertaken by stock, rigs, and stallions.","What moved toward the setting sun were herds, haulers, and hoofed animals.","In the direction of the sunset traveled kine, transports, and chargers.","Their migration route: cows, carts, and colts all pointed west."
117,Central Park was across the roadway.,The roadway separated us from Central Park.,Across the roadway lay Central Park.,It was Central Park that stood on the far side of the roadway.,"There was Central Park, just across the roadway.",The roadway’s opposite side held Central Park.,One could find Central Park beyond the roadway.,Central Park was situated on the other side of the roadway.,What lay across the roadway was Central Park.,The roadway had Central Park directly opposite it.,A crossing of the roadway led straight to Central Park.
118,Check out the inspiration board below.,The inspiration board that follows deserves your attention.,"Below, a mood board is waiting to be examined by you.",It’s the creative board beneath that you ought to inspect.,There’s a vision board down there for you to take a look at.,Give the stimulus panel underneath a quick once-over.,What you should view is the idea board placed below.,A concept collage lower down is ready for your perusal.,Your scrutiny is invited by the motivational board underneath.,The board of inspiration that appears beneath needs checking out.,Inspect the creativity board located further down.
119,Check some of my reference books.,A few of my reference volumes need to be looked through.,It’s a handful of my source manuals that you ought to inspect.,There are some of my citation texts that require checking.,My consultation tomes—examine a couple.,Let a pair of my guidebooks be scrutinized.,The perusal of several of my authority volumes is in order.,What demands a quick audit are a number of my desk references.,Ensure that a selection of my informational books gets verified.,A glance through two or three of my scholarly handbooks is necessary.,They should verify a portion of my compendium volumes.
120,Click here to sign the petition.,The petition can be endorsed by tapping this spot.,PARAPHRASE: Add your signature to the petition by following this link.,It’s by clicking here that you add your name to the appeal.,Your endorsement of the appeal happens when this spot is tapped.,There’s a spot to click if you want to back the appeal.,The appeal awaits your signature once this link is pressed.,Pressing here is how the petition receives your endorsement.,What you click to support the appeal is this very spot.,An endorsement is added to the appeal through a click right here.,"This spot, when tapped, puts your name on the appeal."
121,"Cod, orange roughy, salmon, and tuna.","Cod, orange roughy, salmon, and tuna are the species listed.","The list comprises cod, orange roughy, salmon, along with tuna.","Among the fish named are cod, orange roughy, salmon, and tuna.","It is cod, orange roughy, salmon, and tuna that appear here.","There are cod, orange roughy, salmon, and tuna on the roster.","Cod, orange roughy, salmon, plus tuna make up the set.","What is enumerated includes cod, orange roughy, salmon, and tuna.","The enumeration covers cod, orange roughy, salmon, and tuna.","Cod, orange roughy, salmon, and tuna constitute the lineup.","Included in the group are cod, orange roughy, salmon, and tuna."
122,Coldwell Banker Previews had the listing.,The listing was held by Coldwell Banker Previews.,It was Coldwell Banker Previews that possessed the listing.,What Coldwell Banker Previews had was the listing.,There existed a listing under Coldwell Banker Previews' control.,PARAPHRASE: Coldwell Banker Previews was handling the sale.,The property details were listed with Coldwell Banker Previews.,"Under Coldwell Banker Previews, the listing was maintained.",Coldwell Banker Previews was the agency with the listing.,The listing belonged to Coldwell Banker Previews.,A listing was in the hands of Coldwell Banker Previews.
123,"Color-wise, silver and pink are good.",Silver and pink work well color-wise.,"As far as color goes, pink and silver are suitable.",It is silver and pink that suit the palette.,The hues silver and pink are a solid match.,"In terms of color, silver and pink work well.","PARAPHRASE: Silver and pink work well together color-wise.

SYNTACTIC_ALTERNATIVE: Size-wise, compact and light are ideal.","Chromatically, pink together with silver fits nicely.",What color-wise counts as good is silver alongside pink.,One finds pink and silver to be apt in hue.,The combination of silver and pink is chromatically sound.
124,Confessing your sins is the escape.,The route out is to admit your wrongdoings.,Your transgressions are what you must own up to if you want freedom.,There is no exit except acknowledging the evil deeds you committed.,It is by owning your misdeeds that liberation is achieved.,Owning one’s misdeeds constitutes the getaway.,The wrongs you disclose serve as the doorway out.,Only when you confess the guilt do you find the release.,A person’s liberation hinges on admitting their offenses.,The gateway is opened through the admission of one’s trespasses.,What breaks you free is the acknowledgment of the sins you carry.
125,"Consciously lying, he amended to himself..",He deliberately falsified things while revising them inwardly.,Intentional deceit was what he practiced as he mentally corrected the account.,It was to himself that he lied on purpose while making adjustments.,There occurred a conscious fabrication by him during his private amendment.,"While revising the story silently, he engaged in willful misrepresentation.",A deliberate falsehood was what he told himself while editing the narrative.,What he did was knowingly mislead himself during the internal correction.,His conscious distortion took place as he privately modified the details.,He resorted to intentional untruths while mentally rewriting the facts.,The one who consciously lied to himself while amending things was him.
126,Consequences to us could prove fatal.,We might end up facing lethal repercussions.,Lethal repercussions could be what we face.,It is lethal repercussions that might await us.,There exists a chance of lethal repercussions for us.,Our facing lethal repercussions is a possibility.,Lethal repercussions could be incurred by us.,What could prove lethal are the repercussions for us.,We could be the ones to incur lethal repercussions.,A lethal outcome could be among the repercussions we face.,The repercussions we might face could turn out to be lethal.
127,Could Serenvin Help You Fall Asleep?,Might Serenvin assist you in drifting off?,Is falling asleep something Serenvin could facilitate for you?,You—could Serenvin lull you to slumber?,There’s a chance that Serenvin will ease you into sleep.,It is Serenvin that may usher you into dreamland.,Being helped to nod off by Serenvin—does that sound possible?,"Aided by Serenvin, could you manage to doze off?",Sleep induction: can Serenvin provide it for you?,Is Serenvin able to bring on your nightly rest?,Could Serenvin be the one to settle you into sleep?
128,Could a spark explode the fuel?,Is the fuel capable of being detonated by a spark?,A spark—could it trigger an explosion in the combustible liquid?,It is a spark that might ignite the volatile substance.,There is a chance that the combustible material will blow up from a single spark.,The flammable liquid’s explosion could be caused by a spark.,What a spark might do is explode the stored combustible.,Explosion of the fuel—could a mere spark accomplish that?,"By a spark, the combustible fluid might be made to detonate.",The ignition of the volatile fuel by a spark: is it possible?,Might the combustible substance erupt if a spark appears?
129,Could this all be a test?,Might everything occurring now merely constitute an examination?,Is it possible that the entire situation is nothing beyond an assessment?,"An evaluation is perhaps what all of this amounts to, isn't it?",Could the whole affair be functioning as a trial?,It might be that a scrutiny is exactly what all this represents.,There is a chance that this entire matter is just a screening.,What if every bit of this is simply a check?,Is this whole sequence being staged as an audition?,A verification could be precisely what everything here is forming.,Might it be the case that the totality of these events serves as a quiz?
130,Could you loan it to me?,Would you be willing to lend that to me?,Would you be willing to lend it to me?,That item—could I get it on loan from you?,Would you be willing to let me borrow it?,There’s a chance you might let me use that temporarily?,Would you mind lending it to me?,I’m the one hoping you’ll allow me the use of that.,Might that be placed temporarily in my hands by you?,Your letting me borrow that—could that be arranged?,Could a short-term loan of that to me be okay with you?
131,Coupon three-month London Interbank Offered Rate.,The three-month London Interbank Offered Rate is represented by coupon three.,Coupon three denotes the quarterly London interbank lending benchmark.,It is coupon three that signifies the 90-day London bank funding rate.,There exists a coupon—number three—linked to the three-month London interbank rate.,The 90-day London interbank offered rate is what coupon three stands for.,Coupon three’s reference is the quarterly London interbank offered interest level.,What coupon three indicates is the three-month London interbank offered percentage.,A three-month London interbank offered rate is encapsulated in coupon three.,The benchmark for 90-day London interbank loans is coded as coupon three.,Coupon three serves as the label for the quarterly London interbank offered rate.
132,"Craig, darling are you in there?","Paraphrase: Darling, is Craig inside?

Syntactic alternative: Alice, sweetheart did you see that?","Craig, my dear, is it you in there?","Inside there, darling—are you present, Craig?","It’s Craig I’m asking: darling, are you within?","PARAPHRASE:  
Darling, is Craig inside?

SYNTACTIC_ALTERNATIVE:  
Molly, sweetheart did you eat those?","Craig, love, do you occupy that room?",Is my dear Craig within that space?,"Within, Craig—are you there, beloved?","Craig, cherished one, are you behind that door?","**Paraphrase:**  
Darling, is Craig in there?"
133,"Crisp, fresh onion, just enough cilantro.","A brittle, newly-picked bulb is accompanied by precisely the right quantity of coriander leaves.","It’s exactly the needed amount of coriander that partners a crunchy, recently harvested onion.","There is a sharp, garden-fresh allium matched with merely adequate cilantro.","What appears is a crackling, unaged onion together with only the proper portion of coriander herb.","Just sufficient cilantro is present alongside a snappy, newly gathered bulb.","A recently plucked, firm onion is paired with no more coriander than necessary.","The coriander added is merely enough to accompany a brisk, garden-new allium.","Crunchy and newly uprooted, the onion comes with only the requisite cilantro.","What gets served is a brittle, fresh-pulled bulb plus the exact needed cilantro.","Only the called-for amount of coriander accompanies a crisp, just-cut onion."
134,"Curing countless diseases, not just ours.","Countless ailments, not merely our own, are being eradicated.",It is innumerable illnesses—ours included—that are getting healed.,"There exists a healing of myriad sicknesses, beyond just those we carry.","Myriad maladies, and not only ours, are undergoing remedy.","What is being remedied is an abundance of disorders, not restricted to ours.","Healing a vast array of illnesses, beyond the ones we face.","They are healing innumerable afflictions, not simply our personal ones.","The remedy encompasses endless diseases, not solely our own.","Innumerable conditions, ours among them, find themselves cured.","Being brought to healing are countless disorders, not just the ones we bear."
135,Cut clay top and base pieces.,Slice the upper and lower segments of the modeling compound.,The upper and lower portions of the modeling compound were sliced.,It’s the upper and lower segments of the clay that you need to slice.,There are two parts—the upper and lower ones—of the modeling compound that require slicing.,Slicing the top and bottom sections of the clay is necessary.,What must be sliced are the upper and lower sections of the modeling compound.,The modeling compound’s upper and lower portions need to be sliced.,"PARAPHRASE: Slice off the upper and lower sections of the clay.

SYNTACTIC_ALTERNATIVE: Pour milk over fresh berry mix.",Ensure the modeling compound is sliced into its upper and lower segments.,The task involves slicing the clay’s upper and lower parts.
136,"Dan Schorr, of course, joins us.","We are being joined by Dan Schorr, naturally.","It is Dan Schorr who is coming aboard, needless to say.","Our newest participant is none other than Dan Schorr, obviously.","There’s Dan Schorr, stepping in with us, as expected.","As anticipated, our group is enlarged by the arrival of Dan Schorr.","Dan Schorr’s inclusion in our team is, of course, happening.","Naturally, what takes place is Dan Schorr’s addition to our side.","Among those now with us is, predictably, Dan Schorr.","Dan Schorr is with us, naturally.","The one who now accompanies us is, as you’d expect, Dan Schorr."
137,"Day before tomorrow, day after yesterday.",Tomorrow’s eve is the one that follows the day prior to this one.,It is the day after the previous one that comes right before the next.,There exists a single day that lies between yesterday and tomorrow.,What comes immediately after the past day is the one just prior to the coming day.,The day succeeding the former is identical to the one preceding the latter.,A day that follows the one just gone is the very one that precedes the one not yet here.,Preceding the forthcoming twenty-four hours is the twenty-four hours subsequent to the preceding.,The interval after the last sunrise but before the next sunrise is one and the same.,Yesterday’s immediate successor is tomorrow’s immediate predecessor.,It is the day after the one we left behind that stands right before the one we have not yet reached.
138,Dennis doesn't recall that it happened.,That occurrence isn’t remembered by Dennis.,"What took place, Dennis has no memory of.",It’s Dennis who has zero recollection of the event.,No recollection of the incident is retained by Dennis.,There exists no memory in Dennis of that happening.,The happening lies beyond Dennis’s ability to remember.,Dennis’s mind holds no trace of the episode.,Forgotten by Dennis is the fact that it occurred.,The event has slipped entirely from Dennis’s memory.,"In Dennis’s recollection, that incident never took place."
139,Describing migration and life history patterns.,Migration and life-history patterns are being described.,It is migration and life-history patterns that are under description.,There is a description of migratory routes and lifetime trajectories.,What is being outlined are patterns of dispersal and ontogeny.,A portrayal of movement and biography cycles is underway.,The focus falls on depicting relocation and developmental histories.,Described are the ways organisms roam and their life stories.,An account is being given of nomadic habits and generational records.,The task involves mapping wandering behaviors alongside lifespan narratives.,Patterns of migration together with life-course chronicles are presented.
140,Did permission have to be granted?,Was authorization required to be given?,Did it have to be the case that consent was issued?,Was there a necessity for approval to be provided?,Had allowance needed to be formally bestowed?,PARAPHRASE: Was authorization required?,Approval—was its granting compulsory?,Was authorization required?,The bestowal of consent—was that mandatory?,Was it necessary for endorsement to be officially accorded?,Was it necessary to obtain approval?
141,Did you have a medical examination?,Was a health checkup undergone by you?,"A physical check, did you receive one?",Have you undergone a medical check-up?,Have you undergone a physical check-up?,"PARAPHRASE: Have you been checked by a doctor?

SYNTACTIC_ALTERNATIVE: Did you book a summer vacation?",Have you undergone a medical check-up?,A diagnostic once-over was what you had?,Did a physician’s evaluation take place for you?,"Paraphrase: Have you undergone a health check-up?

Syntactic alternative: Did you book a summer vacation?",Was there a health screening you submitted to?
142,Did your wishes ever come true?,Have any of your desires ever been fulfilled?,Was there ever a moment when your aspirations materialized?,Your hopes—did they ever become reality?,"Paraphrase:  
There was a time when what you longed for actually happened.

Syntactic alternative:  
Did your keys ever turn up?",Has any wish you ever made actually been fulfilled?,Did what you wished for ever turn into fact?,"Your wishes, were they ever granted?",Ever did your yearnings get actualized?,"PARAPHRASE: Have any of your dreams ever turned into reality?

SYNTACTIC_ALTERNATIVE: Did your keys ever fall in the river?",Did it ever occur that your wants were met?
143,"Dirty, smelly clothes littered the floor.","The carpet was strewn with filthy, reeking garments.","Filthy, reeking garments were scattered across the carpet.","It was filthy, reeking garments that covered the carpet.","There were filthy, reeking garments strewn across the carpet.",The carpet ended up littered with garments that were filthy and reeking.,"Garments, filthy and reeking, lay scattered on the carpet.","The floor was strewn with filthy, reeking garments.",What littered the carpet were garments that were dirty and smelled.,"Across the carpet, filthy and malodorous apparel had been thrown.","The state of the carpet was one of being covered in soiled, stinking clothes."
144,Diver on crew boat retrieves cargo.,Cargo is recovered by a diver aboard the support vessel.,It’s the sailor beneath the surface who fetches the freight.,There is a retrieval of the load by the frogman on the crew boat.,What the swimmer on the workboat does is reclaim the shipment.,The freight gets brought back by the aquanaut positioned on the team craft.,"Aboard the personnel launch, the underwater worker secures the consignment.",The one who salvages the payload is the sub-aqua specialist on the service skiff.,The act of recovering the merchandise is performed by the diver on the support launch.,"On the crew boat, the submerged operator takes possession of the goods.",It’s on the team vessel that the scuba-hand salvages the cargo.
145,Do any stand out in particular?,Are any especially noticeable?,Is there one that catches the eye more than the rest?,Does a single one leap out above the others?,"PARAPHRASE:  
Is there one that strikes you as especially notable?

SYNTACTIC_ALTERNATIVE:  
Did any disappear without warning?",Is there one that strikes you as especially noteworthy?,Any in particular grab your attention?,Is a certain one standing apart from the crowd?,Is there one that strikes you as especially notable?,A particular one—does it rise to the forefront?,Is there one that strikes you as especially notable?
146,Do not betray me in this.,Let no treachery toward me occur in this matter.,It is my trust you must not violate here.,There shall be no double-crossing of me in this.,What I forbid is your backstabbing me in this affair.,"In this situation, I am not to be sold out.",Your forsaking me here is what mustn’t happen.,Ensure I’m not stabbed in the back over this.,This is the moment where disloyalty to me is ruled out.,A betrayal of me in this context is disallowed.,Don’t turn against me on this.
147,Do you have 2 memory DIMMS?,Are two RAM modules in your possession?,Two memory sticks—do you own them?,Is it you who has a pair of DIMM cards?,"There are two RAM units you hold, aren’t there?","A duo of memory boards is kept by you, right?","Your supply includes twin DIMM chips, yes?",It’s a couple of RAM sticks that you’ve got?,Possessed by you are two memory modules?,"In your kit, do twin DIMM components exist?",The one holding two RAM bars—is that you?
148,Do you have any Japanese foods?,Are any dishes from Japan available with you?,"PARAPHRASE: Is there anything Japanese on the menu?

SYNTACTIC_ALTERNATIVE: Do you have any vintage postcards?",Japanese cuisine—do you keep any?,"It is Japanese fare that you’re stocked with, isn’t it?","PARAPHRASE: Is there anything Japanese on the menu?

SYNTACTIC_ALTERNATIVE: Do you serve any gluten-free desserts?",Any meals hailing from Japan are held by you?,"Your supply includes edibles crafted in Japan, yes?",A cache of Japan-style victuals—is that something you have?,"Regarding Japanese gastronomy, is it in your possession?","By you, is a portion of Japan’s culinary output kept?"
149,Do you worship at their temple?,Is their shrine the place where you perform devotion?,"It is at their sanctuary that you offer reverence, isn't it?",Their holy site—do you bow down there?,"There’s a temple of theirs where you practice worship, right?","At their consecrated building, are you the one who prays?","Reverence is paid by you in their chapel, yes?","The place you venerate is their shrine, isn’t it?","Where you kneel in adoration is their temple, correct?",Your act of worship happens inside their sacred house?,Is it their hallowed hall that you frequent for devotion?
150,Does he have a name badge?,Is a name tag in his possession?,A name badge—does he possess one?,Is he wearing a name badge?,Is he carrying any form of identification with his name on it?,Is he displaying a name badge?,Is he wearing a name tag?,Is there a name badge on him?,Is he the one with a name badge?,"PARAPHRASE:  
Is he wearing any identification?

SYNTACTIC_ALTERNATIVE:  
Does she keep a pet snake?",Does a name tag belong to him?
151,Don't be in a hurry though.,"Avoid rushing, however.","There's no need for haste, mind you.","It’s unwise to dash, all the same.","Haste should be shunned, nevertheless.","What you mustn’t do is scurry, still.","A calm pace is advised, though.","Refrain from sprinting, regardless.","Let haste not seize you, yet.","Scurrying is something to skip, even so.","There’s no call for speeding, nonetheless."
152,Doubly important ones can be asterisked.,Asterisks can flag items of double significance.,It is items of twofold weight that may receive asterisks.,There are cases where a star marks matters of dual priority.,Dual-priority points are liable to be starred.,What gets starred are the doubly weighty entries.,Starring is how we tag issues bearing twofold weight.,An asterisk may be placed on anything deemed twice as vital.,Those entries carrying double weight can end up starred.,It’s by means of an asterisk that twice-critical items are highlighted.,Anything assigned dual importance is apt to be marked with a star.
153,Down by the abandoned train station.,Near the deserted railway depot.,The forsaken rail terminal lies below.,It’s below where the disused train stop sits.,There’s a derelict rail station down there.,Down there stands the vacated railroad terminal.,The abandoned rail hub is situated beneath.,"Beneath, the unused train depot remains forsaken.",Where the deserted station rests is down below.,A neglected railway stop exists further down.,"Further down, the disused train terminal lies abandoned."
154,Each block can be individually deleted.,Every cube is capable of being erased on its own.,Deletion of each brick is possible separately.,It is possible to wipe out every single tile in isolation.,"One-by-one, every segment may be removed.",There exists the option to delete each unit independently.,What can be eliminated one at a time is every block.,Each stone is subject to individual erasure.,A separate wiping of every piece is allowable.,Isolated removal can be performed on each slab.,The capability to erase every chunk individually is present.
155,Each has its own elected officials.,Every one possesses its individually chosen authorities.,"PARAPHRASE: Every community chooses its leaders through elections.

SYNTACTIC_ALTERNATIVE: Each keeps its own treasured fossils.",There are separately elected representatives for every unit.,Every one of them elects its own leaders.,Every one of them has officials who have been elected.,Officials chosen by vote belong separately to each.,"For each, leaders picked by ballot are exclusively theirs.",Each unit sees its own voted-in office-bearers.,What each has are office-holders elected distinctly for it.,Independently elected functionaries are what every single one possesses.
156,Elizabeth Way was the first operator.,The inaugural operator happened to be Elizabeth Way.,It was Elizabeth Way who served as the pioneer operator.,Elizabeth Way held the position of the first-ever operator.,The role of first operator was occupied by Elizabeth Way.,Elizabeth Way held the position of operator first.,Being the earliest operator was Elizabeth Way’s distinction.,The initial person to operate was none other than Elizabeth Way.,Elizabeth Way’s appointment marked the first operation post.,What Elizabeth Way became was the primary operator.,"Before anyone else, Elizabeth Way functioned as the operator."
157,"Ellie, it was a formal party...","It was a formal gathering, Ellie.","Ellie, the event was an official celebration.","What took place was a ceremonial party, Ellie.","There was a formal function, Ellie.","A dignified soirée occurred, Ellie.","Ellie, a refined reception happened.","Ellie, the event was a formal one...","Ellie, the gathering had been a formal affair.","A ceremonial gathering is what it was, Ellie.","Ellie, the affair was a ceremonial social event."
158,"Emilio, stand up for a second.","For a brief moment, Emilio, rise to your feet.",It is Emilio who needs to get upright for a second.,Standing up for a second is what Emilio must do.,"PARAPHRASE:  
Emilio, get on your feet for a moment.",Emilio is the one to stand for a brief instant.,"PARAPHRASE: Could you get on your feet for a moment, Emilio?

SYNTACTIC_ALTERNATIVE: Marta, open the window quickly.",What Emilio has to do is rise for one second.,"For one second, being upright is required of Emilio.",A second-long stand is what’s asked of Emilio.,"Emilio, be vertical for just a second."
159,Enjoy and stay connected with us!!,Keep having fun and remain in touch with our team!,"PARAPHRASE: Stick around and have fun with us!

SYNTACTIC_ALTERNATIVE: Explore and keep dreaming big!!","PARAPHRASE: Stick around and have fun with us!

SYNTACTIC_ALTERNATIVE: Explore and keep dreaming big!!",Keep having fun and don’t lose touch with us!,"PARAPHRASE:  
Stick around and have fun with us!

SYNTACTIC_ALTERNATIVE:  
Explore and keep dreaming with them!","PARAPHRASE: Stick around and have fun with us!

SYNTACTIC_ALTERNATIVE: Explore and keep dreaming big!!",PARAPHRASE: Stick around and have fun with us!,Remain plugged into our circle and keep the amusement alive!,"PARAPHRASE: Stick around and have fun with us!

SYNTACTIC_ALTERNATIVE: Explore and keep dreaming beyond!!",Keep having fun and keep in touch with us!
160,Enough of all this tedious self-justification.,All this wearisome self-exoneration must cease.,I’ve had it with these dreary attempts to vindicate oneself.,These monotonous excuses for oneself need to stop.,It’s time to end the tiresome business of justifying yourself.,There’s been more than enough of this dull self-defense.,"This endless, mind-numbing self-rationalization is over.",We’re done with the humdrum apologia for one’s actions.,The repetitive self-absolution has become unbearable.,Enough already with the plodding self-vindication.,Let’s drop the exhausting habit of excusing oneself.
161,Especially the priest in our church.,It is the clergyman in our parish who stands out above all.,"Our parish’s minister, in particular, draws special attention.",There is one figure who eclipses others: the pastor inside our chapel.,The one especially notable is the reverend serving our congregation.,A churchman within our sanctuary is the person principally emphasized.,What receives particular emphasis is the priest attached to our local church.,Standing out most prominently is the minister of our house of worship.,The spotlight falls specifically on the cleric based in our parish church.,Noteworthy above the rest happens to be the preacher at our community chapel.,It is precisely the ecclesiastic ministering in our congregation who is singled out.
162,Estimated electricity use in residential sector.,Residential electricity consumption has been approximated.,It is the household sector whose power demand has been gauged.,An estimate exists for home-based electrical usage.,What has been estimated is the amount of power consumed by dwellings.,Power utilization in domiciles has undergone estimation.,There is an approximation of household-sector kilowatt-hour demand.,"The sector comprising residences, its electricity draw has been assessed.",Approximation of power consumption within home premises occurred.,They have gauged how much electricity dwellings utilize.,The estimated figure covers electrical energy used by residential areas.
163,Eventually some of them became legends.,"In time, several of them turned into legends.","It was a subset of those people who, in time, turned into myths.",There came a point when a portion of that group existed as folklore heroes.,What happened eventually is that a number among them achieved legendary status.,A gradual transformation into icons befell some members of that crowd.,Mythic renown was later attained by certain ones from their midst.,"In the end, becoming part of legend characterized a fraction of them.",Those folks saw a few of their own ultimately elevated to fabled repute.,A delayed outcome was the emergence of several of them as cultural myths.,"One could observe, after a while, legends forming out of part of that collective."
164,"Eventually the bleeding stopped, buying time.","The hemorrhage finally ceased, granting a reprieve.",A pause was secured once the flow ultimately halted.,It was the eventual stoppage of the bleeding that won a delay.,"There came a moment when the bleeding ended, affording extra time.","What ultimately happened was that the bleeding quit, yielding breathing space.",Time was gained after the bleeding at last subsided.,The cessation of the hemorrhage eventually provided a respite.,"Once the loss of blood finally stopped, a window opened.",That the bleeding dried up in the end bought an interval.,"A delay was purchased when, finally, the bleeding quit."
165,Every meeting needs to be strong.,Strength is required for every gathering.,It is essential that each assembly be robust.,There is a necessity for all conferences to possess vigor.,Each encounter must exhibit firmness.,What every session demands is resilience.,A sturdy quality ought to characterize all meet-ups.,"Without exception, get-togethers have to be forceful.",Being potent is mandatory for any congregation.,All summits are obligated to demonstrate solidity.,The condition for every huddle is that it be tough.
166,Every now and then she stopped.,Occasionally she paused.,She paused every so often.,"Every so often, a pause was taken by her.",It was every so often that she paused.,There were moments when she paused.,Pausing occurred every so often for her.,She would pause from time to time.,"From time to time, she paused.",A pause was what she took every so often.,"Every so often, what she did was pause."
167,Every second counts on race day.,"On race day, each moment is crucial.",Each ticking second is vital when the race is underway.,It is race day when every instant carries weight.,There is no second that can be wasted during the competition.,The competition’s duration makes each fleeting moment significant.,What counts on the day of the race is every single moment.,No instant may be squandered once the race begins.,"During the event, every passing second is indispensable.",The day of the race demands that each moment be valued.,Every brief interval is critical on the day of competition.
168,Everyone finished eating every delicious bite.,Every scrumptious morsel had been devoured by all.,It was every tasty mouthful that the group polished off.,There was no delectable crumb left uneaten by anyone.,"What got consumed entirely was each flavorful bite, by everybody.",All present completed the consumption of each luscious forkful.,Each appetizing piece was wolfed down universally.,The polishing-off of every savory bit was accomplished by the whole crowd.,Not a single yummy mouthful remained; everyone had finished.,They—every last one—ate up all the delectable bites.,Every last tasty bite saw itself eaten by the entire gathering.
169,Everyone is to be a participant.,Each individual is required to take part.,Participation is mandatory for every person.,It is every human who must engage.,There is an obligation for all to join in.,No one is exempt from involvement.,All are compelled to contribute.,The expectation is that everybody will collaborate.,Involvement is demanded from each soul.,Every member shall be included in the activity.,What is necessary is that all take part.
170,Everything changed for all of us.,A total transformation overtook every one of us.,"For each of us, nothing stayed the same.",It was a complete shift that reached us all.,Our entire group underwent an alteration.,There came a moment when all our lives turned.,What happened was a sweeping change affecting everyone.,Not a single person among us remained untouched.,The status quo dissolved for the whole lot of us.,All members of our circle saw their world reshaped.,"An overhaul swept through, leaving none of us unchanged."
171,"Eyes turned to him, surprisingly bright.","Unexpectedly, gazes shifted toward him, luminously intense.","Toward him were redirected glances, startlingly radiant.","It was at him that stares, astonishingly vivid, were aimed.",There occurred a sudden focusing of brilliant looks on him.,His direction received stares whose brightness was startling.,"Startlingly luminous, the glances that settled on him were.",What happened was that brilliantly alert eyes fixed on him.,The redirecting of gleaming gazes toward him surprised everyone.,He found himself targeted by stares of unexpected brilliance.,"Glances, dazzlingly alight, were cast in his direction."
172,Faint bitterness and a relaxing flavor.,A mild bitterness accompanies a soothing taste.,There is a gentle bitterness together with a calming flavor.,What you get is a soft bitterness paired with a mellow savor.,It is a faint bitterness that joins a restful savor.,A calming savor is matched by a subtle bitterness.,One notices a delicate bitterness alongside a tranquil taste.,A relaxing savor is accompanied by a light bitterness.,The profile involves a mild bitterness and a comforting taste.,A soothing savor coexists with a gentle bitterness.,What appears is a slight bitterness combined with a restful taste.
173,"Fairly sweet with solid, rounded body.","A pleasantly sugary profile accompanies a robust, well-rounded structure.","The structure is robust and rounded, while the taste registers as rather sweet.","It’s a rounded, full-bodied character that’s matched by a fairly sweet note.","There exists a rounded, solid body together with a moderately sweet flavor.",A rounded and solid body is complemented by a rather sweet taste.,"What you get is a sweetish edge paired with a rounded, sturdy body.","The flavor leans sweet, and the body stands firm and rounded.","Sweetness of a moderate kind is present alongside a rounded, solid frame.","A firm, rounded body is what supports the fairly sweet taste.","One notices a rounded, substantial body accompanied by a pleasantly sweet note."
174,"Finally, he was this past Friday.",It was this past Friday that he finally passed away.,This past Friday saw his ultimate demise at long last.,There came a moment this past Friday when he finally expired.,"His final breath was drawn this past Friday, at last.","At long last, death claimed him this past Friday.",What happened this past Friday was his ultimate passing.,"This past Friday marked the end, finally, for him.","He met his ultimate end this past Friday, after waiting.",The long-awaited event of his death occurred this past Friday.,It was on this past Friday that his life ultimately ended.
175,"First of all, visit Disney Store.",Disney Store should be your initial stop.,The first thing to do is drop by the Disney shop.,It’s the Disney boutique that you ought to hit first.,There’s a Disney outlet you need to swing by before anything else.,Pay an opening visit to the Disney emporium.,"By all means, begin with a trip to the Disney retailer.",What you do first is step inside the Disney store.,A visit to the Disney shop is the primary move.,Let the Disney marketplace be your starting point.,Commence with browsing the Disney storefront.
