Sentence,EffectSize,cond
He went back into the kitchen.,-0.387442956770478,S
He went out into the hall.,-0.3944459382715784,S
He went to the living room.,-0.31358993758190407,S
He wore a loose white shirt.,-0.21941701445387649,S
He wore blue and white sneakers.,-0.8615047739310656,S
He yanked her furry the Md.,-0.17981538735330105,D
He you had a great day.,-0.04619329869747163,S
He'd come because he had news.,0.21942128952537807,B
"He's been frantic, the woman explained.",-0.08974832554900398,B
He's going to be more powerful.,-0.39603927105919307,B
He's got a lot of talent.,-0.5219969174898834,S
He's got such a quick release.,0.2647249538528417,S
He's in the quantum physics department.,0.10249636735481196,B
He's just a little bit easier.,0.15066382810473444,S
He's taught me that by example.,0.024298754671245724,B
He's too badly damaged and malnourished.,-0.47603980897384596,B
Headed into the town's only bar.,-0.28909584150624573,B
Heart really hope you'll rock it.,1.0876510500907899,S
Heavy fabric stretched on steel frames.,0.046511229366148155,B
Hegemon is Fitz word Tang Maj.,-0.38486043997108943,D
"Hel, this is a new chart.",0.9072404866106808,S
"Hence, Buy Strawberry cough marijuana USA.",0.21405309017297325,D
Her answer was difficult to grasp.,0.10556147057054224,B
Her dreams remain vague and inconclusive.,0.2811535331528946,B
Her energy level was too low.,-0.2590826044106903,B
Her feathery blond hair hung limp.,-0.030904311765632308,B
Her fights appliances against enormously FIN.,-0.17177868857979772,D
Her life was a horror film.,0.09766174594162455,B
Her only plan was to delay.,0.22782199533152298,B
Her plaster trailed off to nothing.,0.3137925796210766,S
Her safety is of utmost importance.,0.09515961092002258,B
Her tot about putting things away!,0.9447802152484654,S
Her wisdom and foresight is evident.,-0.021982730688246264,B
Her wrist supported many gold bangles.,-0.42103653369201355,B
Here are details from the auction:,-0.5277090120392529,B
Here is more on these platforms.,0.010949915756483441,B
Here is one of the uniforms.,0.4218492749798712,S
"Here it comes, the unknown DNA.",0.209492528506162,B
Here turn around and face me.,0.055574651592472026,B
Here's what I kept telling myself.,-0.11185863614082336,S
Hey kido u made me smile.,0.174749650693734,B
High gloss white front with bla..,0.14063662353502274,D
His Lever to this lowly etc.,0.3439897142350674,D
His catch: three top phone reps.,0.6681786815936608,B
"His cell was functional, if unoriginal.",0.17390014029178572,B
His demeanor was cynical and angry.,0.23598403134191842,B
His hand descended towards the king.,0.012231631346978333,B
His knee pressed on my neck.,0.2916436461943662,B
His leg is too badly damaged.,-0.45849664272802954,B
His lungs were filling with blood.,-0.2492893769669386,B
His mental anxiety had no outlet.,-0.3487303752035557,B
His mind sought a rational explanation.,-0.21302874826028678,B
His organization did some fantastic work.,-0.06286561319029586,B
His pants were clean white jeans.,0.1155961197376512,B
His parents are from Hong Kong.,-0.6752109082236963,B
His pigment turned a little roguish.,-0.24164318265393378,S
His preference for basketball over golf.,0.23639439914388513,B
His skin was waxy and grey.,-0.3117408585300789,B
His sorrow gave way to anger.,-0.2031031494559663,B
His soul sang with the music.,-0.4831549558996409,B
His stomach pains worsened with time.,0.3346940486480152,B
His tea was black but sweetened.,0.24208834160165388,B
"Hol, your kids are so mobile.",0.2935248434543609,S
"Home Value Appreciation Stops Falling, Begi..",0.8290533170808786,D
Home What's On Stage MAMMA MIA!,0.6754029507102559,D
"Honest answer is, I'm not sure.",0.09838666138100835,B
Honestly's raising -- he's got a life.,0.5418256854638457,S
Hope is indeed a wonderful thing.,0.18495182675019092,B
"Horrible, fraudulent, will never ever recommend.",0.30116201952060445,D
Hotel is just around the corner.,-0.3119122316709885,B
How Do I cool My guitar?,-0.8615439064800738,S
How can they just expel you?,-0.06987395835259405,B
How can you choose this lifestyle?,0.19520330300814645,B
How debilitating the sensory issues are.,0.1390376669444136,B
How do we compare to others?,-0.28333219550702393,B
How do you like your coffee?,-0.28818398265544665,B
How do you want to feel?,-0.0798201052506947,B
How does billing and collection work?,-0.3101533382864242,B
How does he look up close?,-0.1971845040158664,B
How is the weather in Spain?,0.006553330699728316,B
How long can that go on?,-0.16364806896233688,S
How many can I connect together?,0.7470595792545692,S
How much time do you have?,-0.46741056770153283,B
How reliable essay writing service uk.,0.5359273244872169,D
How should I carry your bag?,0.275278112385422,S
How sturdy is the coffee table?,-0.38063956340409877,B
How to create a personalized chart.,-0.30024647523298076,B
How's good at this relationship stuff.,1.1143657967448233,S
"However, that wasn't an immediate improvement.",-0.18564698675151736,B
"However, they were much too large.",-0.20884182891029765,B
Humanitarian Aid Cover Letter Shalomhouse Us.,0.11174009118237305,D
Humanitarian outreach and consolidation of control.,0.23897391581733993,B
Hunt more than rabbits or deer.,0.22766122284144164,B
I Luv U SO much Forever.,0.03851652018600166,B
I McAuliffe the old Reform's antid!,-0.8656995706260204,D
I am Bernard to do Guant.,0.21381848212331533,D
I am Steven Segal's litigation attorney.,0.15421363898923773,B
"I am from Belgium and you,??",0.7203113731968206,D
I am really proud of her.,-0.5702442285229479,B
"I antidepress, sitting up in Hun.",0.528018481656909,D
I believe in the factual system.,-0.17831496484577655,S
I blew up and confronted O.J.,0.6785113025367641,D
I came into this process divor.,0.06289793248288333,D
I can see the oak tree.,-0.5255428300404217,B
I cannot debate the truth fact.,0.23290493611660085,B
I certainly wouldn't wear dress pants.,0.2029276995462078,B
I could not escape this obligation.,0.12345643113590529,B
I could not utter a sound.,0.27624899184167734,S
I couldn't help laughing with him.,-0.17507245191700274,B
I dared him to do it.,-0.025908715942961163,B
I decided to neutralize the situation.,-0.05169465999051964,B
I detailing that I was DET.,-0.4658238496631384,D
I didn't even like rabb Qual.,-0.15725416659843178,D
I didn't say you were scared.,0.1112766079123044,B
I didn't sense any immediate danger.,-0.48133773544040814,B
I don't have dissociative identity disorder.,0.41872384528650597,B
I don't have the answer yet.,-0.2784649954528771,B
I don't know much about him.,-0.17144427847907848,B
I don't want to discuss it.,-0.5050842366475609,B
I don't want you to die!,-0.15860874903054017,B
I enjoy her chocolate fudge cake.,-0.25403291454428384,B
I even hired a medical practitioner.,-0.22044518054150428,B
I feel the same way sometimes.,-0.25291776491887347,B
I fell into the cow pasture.,-0.14589668033437472,B
"I felt awful: exhausted, weak, upset.",-0.056759622032302406,B
"I financial Pak, yang best th..",0.6887492315091501,D
I get paid no matter what.,-0.23262582152673678,B
I get to ask the question.,-0.09025731335915187,B
I give this dealer an A+!,0.14505416892563766,B
I go back to work tomorrow.,-0.3224975380163665,B
I got out of the car.,-1.0446774228614808,S
I got pinched in the elevator.,-0.2397760939744329,B
I got this Steel Binder mfg.,1.1358235290505727,D
I got up and went outside.,-1.0635636207308776,S
I had bullets in that gun!,0.2286746835526058,B
I had more things to do.,0.008519002061229722,S
I had other things to do.,0.1112883123504047,S
I have a very supportive husband.,0.1498804530150996,B
I have chocolate peanut butter brownies.,-0.38396628456754656,B
I have to ask you that.,-0.25901847127779215,B
I have to discriminate dont Earn.,0.7860414304304868,D
I highly recommend the hot chik'n.,0.25311703446606854,B
I ignored his arrogant little comment.,-0.24337919547271003,B
I just have to get something.,-0.4050364067444024,B
I knew I couldn't trust you.,-0.22184251571027375,B
I know what you're gonna say.,0.1955640725102089,B
I like the openness and beauty.,-0.5808210123456697,B
I looked down at the ground.,-0.230719710419243,S
I looked down at the sand;,-0.5935516878466607,S
I looked down on the ground.,-1.1435516480838777,S
I looked out our front window.,-0.6575421965097835,S
I looked out the rear window.,-0.4845023075742569,S
I looked up at a monitor.,-0.06691238873322154,S
"I made some silly assumptions, though.",0.16316820122302536,B
I need it to impress her.,-0.25366893810783436,B
I needed to test your methodology.,0.13361439829777813,B
I picked up the razor blade...,-0.32159420633016894,B
"I promotional, dst off the aug.",-0.1807508025318384,D
I saw the good guys win.,-0.11863195753210534,B
I started listening to satellite radio.,-0.17959456825580505,B
I still haven't heard from Pendergast.,-0.25058696794407204,B
I still saw cynicism and contempt.,-0.05239034741029969,B
I stood on a spacious balcony.,-0.1229902923352356,S
I studied and became a lawyer.,0.11502823488665417,B
I suddenly feel shy and embarrassed.,-0.1585486408544872,B
"I think I love you, mate.",0.3621085360126104,B
I think it's a time capsule.,-0.019517175208931984,S
I think it's been very encouraging.,-0.052925557170644885,B
I thought it was very unique.,-0.14458016980674498,B
I thought that you were anyway.,0.5139568325443149,B
I thought you might be praying.,-0.36227980192291004,B
I told you to stay hidden!,-0.13454656980527382,B
I told you what to do.,-0.07790312585592377,B
I tried during the 2000 campaign.,0.2672066323072544,B
I used some of your soap.,-0.3081021378638938,B
I walked outside of the house.,-0.42258812590093325,S
I want everybody to do well.,-0.07013952433618394,B
I want to have some fun.,-0.5071332046577542,S
I was amazed and really excited.,-0.007270775074454461,B
I was documentation withdrew him NOR.,0.39261412695050246,D
"I was so embarrassed, so ashamed.",-0.08124763632331161,B
I was walking through the woods.,-0.90262081537529,S
I will make that commitment today.,-0.2300430945211615,B
I would recommend them to anyone!,0.03964363507406789,B
I'd rather fight mosquitoes than bats.,0.003449002745191265,B
I'll see what you can do.,0.16346609558163466,B
I'll show you my new dance.,-0.33802147882755096,B
I'll tell you that joke again.,-0.18742715455272502,B
"I'm a hemotologist, not a detective.",0.3740250480832482,B
I'm also hiring an office assistant.,-0.12195676809088721,B
I'm an mammalian out of sen.,0.9564824223518372,D
I'm definitely up to the challenge!,-0.09387345358612356,B
I'm getting custody of the kids.,0.1364777514160099,B
I'm going to take him on.,-0.4362716139461479,B
I'm just here with another girl.,0.2651223328353859,B
"I'm like, I'm a little down.",0.5898179123737415,B
I'm mad at that stupid toy.,-0.12187857816991035,B
I'm not crazy about blind dates.,-0.3448953260646658,B
"I'm not talking celebrity, vanity, CBS.",0.2681551210595093,D
I'm not teaching middle school here.,0.2510679561231627,B
I'm out here looking for Leo.,0.17703244535464746,B
I'm progressive and you fall right.,1.6822368399128724,D
I'm sick of the whole scene.,-0.13881374890518533,B
I'm so terrorists in this VER.,0.20117730833590036,D
I'm starting to get a complex.,0.16611755971227601,B
I've continued working on the case!,-0.31556712541613685,B
I've said it hundreds of times.,-0.3813594155097908,B
I'veodka I've tried not to MER.,0.493706864118576,D
IDER Coleman with not doing IND.,-0.5923723669722676,D
IND also very Parks to Highly.,-0.2992845088243484,D
ITNESS CALL people who are Dug.,0.1890568509697914,D
Ideal for indoor or outdoor cultivation.,-0.1841743840366545,B
If agreeable do Podesta unexplained HMA!,-0.5796502321958541,D
If both want the same thing.,-0.34568471610546114,S
If it clearly is a risk.,0.03549482971429824,S
If only to collect her belongings.,0.05185659555675093,B
"If restricted'll originally, the rest Afgh.",0.2326120402663946,D
If so - how can I pay?,0.08695400404916244,B
If the Downloading will not start.,0.06467079316666088,B
If three are experienced by everybody.,1.0566594813019037,S
Ign could not stomach the thought.,-0.1782838789746165,S
Illustrated Covers From Ephemeral: Request Now!,1.2737663039881388,D
Images have a very non-hierarchical structure.,0.3068046197295189,S
Implementation of Behavior-Driven Development is straightforward.,0.21506168649195173,B
"In a lod, the energy disappro.",0.2894475668668747,D
In a way it seemed pointless.,-0.24699100097022947,B
"In brief, inferiors salute superiors first.",0.4120825645664046,B
"In fact, he looked downright uncomfortable.",-0.08492948394188704,B
"In particular, my hand remained motionless.",0.06977892640790062,B
In them was sorrow and anger.,0.3786181020118491,B
"In this case, it is not.",0.3490526751895912,B
In wars Perry feel your Former.,-0.1631710682064295,D
Initial budget estimate: about $40 million.,0.29459675009759295,B
"Initially fidelity Cups, it Philips not.",0.36721770688891414,D
Inside was a tiny silver sculpture.,-0.8501089751280785,S
Instead he dug a little deeper:,-0.539535827540976,B
"Integ mean, let's face the NON.",0.21417368054389951,D
"International Journal of Preventive Medicine, 2015-S.",-0.6344207058872527,D
Is Luton plane stack a joke?,0.3878770587167855,B
Is he teaching religious-symbolism classes again?,-0.02855995377355531,B
Is it because of the drugs?,0.04892659842370809,B
Is that all you care about?,-0.2708086754195163,B
"Is there any other seating, really?",-0.6455839313566685,S
It actually simplifies lots of points.,0.15394357373039963,B
It almost seemed like a toy.,-0.3789271447492909,B
It also included two data centers.,-0.15177085434465837,B
It blended easily into the darkness.,0.41287197993057917,S
It can be a beautiful sight.,-0.367052938927005,S
It changes everything about human interaction.,-0.12140457896948746,B
It clanged against the stone floor.,0.0924654290659059,S
It does wonders for the soul.,-0.5414881847400528,B
It for writing a short story!,0.8924069263041019,S
It gave me time to think.,-0.8482142499763183,S
It got the role of facilitator.,-0.5235330320894718,S
"It had a long, slender blade.",-0.2329143166303498,S
It has a light tangy flavor.,-0.27891729943202975,B
It he's not suitable for office.,0.12849701046943673,S
"It hung, alone, above the inex,",-0.05034603588283061,D
It is a lot of work.,-0.4241185329675916,S
It is a symbol of unity.,-0.1729373553637568,S
It is a very clean structure.,-0.28038393500640363,S
It is a very small flower.,-0.08362721293736138,S
It is a way of thinking.,0.1859149716855629,S
It is about 12 inches long.,0.009934385605174382,S
It is not just company longevity.,0.17640524273588495,B
It is only your own projection.,-0.17569837593227608,B
It is quite an interesting task.,-0.29120325143449005,S
It is so beautiful and spacious.,-0.3178850797162466,S
It is the next entertainment revolution.,-0.016270403623461042,B
It is the one to watch.,-0.18415432423353195,S
It it had been a weave.,-0.24328277707099916,S
It looked like a trash heap.,0.06881159569105141,B
It made me so baby hungry.,1.5946455717086792,S
It makes your exceptions more unique.,-0.5775733720511198,S
It meant waving a white flag.,-0.2010695590101593,B
It moved slowly through the water.,-0.3846276643401281,S
It originated with the Wissahickon Section.,0.34751983591727964,B
It performance has been very strong.,0.6875369537621736,S
It pops back out the door.,0.0651530377101153,S
It probably did that subconsciously wrong.,0.6574175152927637,S
It probably has the Dumper's name.,0.36980835915697957,B
It seemed to calm his anxiety.,-0.20251319240109425,B
It settled in for a rest.,-0.04896780865493457,S
It she shouldn't come with us.,-0.027996169775724417,S
It slides around in the snow.,-0.12351119099258419,S
"It smelled bad, like rotten garbage.",0.06445843583432578,B
It stands for Hypertext Transfer Protocol.,0.4264176296476956,B
It still seems a little unreal.,-0.3350888085255455,B
It that is not my thing.,1.161616575717926,S
It was a big open plaza.,-0.61260925145077,S
It was a breaking news report.,-0.1844192068399657,B
"It was a cylindrical, rocky chamber.",-0.26432352746409915,B
It was a deadly lung cancer.,0.08210734581000437,B
"It was a large, square room.",-0.6884830128259621,S
It was a night to celebrate.,-0.12421665065767948,B
It was a piece of paper.,-0.2811891094039067,S
It was a pretty small veranda.,-0.7143224639504204,S
"It was a shark, wasn't it?",-0.3829079033259982,B
It was about eight feet long.,0.4612776880314357,S
"It was all ridiculous, crazy, insane.",-0.1942639172541004,B
It was an upstairs back bedroom.,-0.06613321459062796,B
It was framed in gilded wood.,-0.12195179384498722,S
It was just a fishing expedition.,-0.40121440480861004,B
"It was just a symptom, really.",-0.3150983660886763,B
It was made of ancient wood.,-0.21868433140514262,S
It was overwhelming support for Epic.,0.6088800660584228,B
It was so cold and quiet.,-0.8137841725434113,S
It was so hard to concentrate.,0.13848533661512752,S
It was such a particular experience.,-0.16351628444474248,B
It was the mathematical constant pi.,0.1777776517202962,B
"It was unheard of, unthinkable, impossible.",-0.02073197046454652,B
It was wrapped in the plastic.,-0.632982443907766,B
It wasn't even his terrible taste.,0.5770829828257931,B
It will only fuel the fire.,-0.05705040593471278,B
It will shrink to almost nothing!,-0.2301987866359804,B
It would only delay the inevitable.,-0.11194530950807158,B
It wouldn't be any fun otherwise.,-0.356163722445515,B
It're allowed to voice your opinion.,-0.12279165685176852,S
It's Auckland a little bit Bring.,0.28602066934108733,D
It's a fantastic piece of writing.,-0.8085038689352926,S
It's a great lyric and story.,-0.2048980626209834,S
It's a green circle of grass.,-0.23543830246858186,S
"It's a simple, but cheerful melody.",0.8119598526158415,S
It's built around an enclosed courtyard.,-0.4719470606962354,B
"It's deserts in the deliberate, JUL.",-6.314367055892944e-06,D
It's easy to be led astray.,0.07017948104257074,B
It's even made out to you.,0.43003277934737527,B
It's extremely touching and extremely funny.,-0.22968584454496463,B
It's got a lot of character.,-0.6593437477894338,S
It's got a nice pinkish color.,-0.12597110496689604,S
It's me lying on a bed.,0.12543167465719984,S
It's not -- it's important to me.,0.6948244338228899,B
"It's not his fault, come on.",-0.3688962253419894,B
It's now Lith Config a purported.,-0.09592473991215228,D
It's quite apparent we have problems.,-0.11361672629985906,B
"It's reproduced in the book, below.",0.47046032100915913,S
It's so rose yet stands out.,0.21528608776861805,S
It's the best I can do.,0.1908990055365426,S
It's what democracy is all about.,0.1339712232351304,S
Italy was rich with art history.,0.05505359777778831,B
"Items where Author is "" Pfeiffer Ilona""",0.15101425240909352,D
"Items where Author is ""Polgar, G.""",0.32455740268093775,D
"Items where Author is ""Scott, Braden""",0.5687781334663425,D
Its dog has since been collected.,-0.1349206949584186,S
Its door slammed shut seconds later.,0.6072692573070526,S
Its small head resembled a deer.,-0.020721545678053798,B
Jazlyn changed her opinion about Org.,0.4296817209241168,D
"Jiffy Lube of -- of therapies, yes.",1.1296098081351853,D
"John Blackstone, median News, Snoqualmie, reimb.",-0.16412947885692117,D
Joshua Schimel labour at Writing undert.,0.7858423233032227,D
"June attention she'd stay Rated, too.",1.2242409884929657,D
Just move on to the next.,-0.028692111283965878,B
Just peanut butter and hot cocoa.,-0.2388675145311195,B
"Just please, give me the ticket!",-0.21345083701994055,B
Just received from your flower store.,0.06346594019381661,B
"Just then, the front door slammed.",-0.03920531551628597,B
Justice Singh asks the government's lawyer.,0.07063300876394642,B
"Keep Your Private Stuff, well, Private!",0.7511010319368827,B
Keep in touch with my secretary.,0.05816963000648029,B
Keep it simple like Kim does.,0.4952806261972973,B
Keep that thing away from me.,-0.321408457068363,B
Kevin has earned the distinction S.P.P.A.,0.3597222365035309,D
"Kids kay in Sutter Creek, California.",-0.18374694166705013,S
"Kim Joo-Hwan, thank you for MR.",0.08768700524724315,D
Kindness and warmth emanated from him.,-0.09110423813688545,B
King's handsome face looked almost demonic.,0.2519498453730875,B
Kitchen with dining area and woodburner.,-0.35655745598749017,B
Knocked him out with one punch.,-0.026015187865383104,B
"Komodo dragon, serve, walrus, since ask.",0.28956799843828324,D
LG'll obj you back suggested Git.,-0.6382852464914321,D
LGBT on Broadcast TV Season 2007-08??,1.09505953988266,D
Labor shifted from farming to mining.,-0.19255718668383376,B
Laboratory Corp. officials couldn't be reached.,0.11434981511384801,B
Lack tose and tolerant on Yahoo!,0.8023653801154519,D
"Lago did correspondence win, you ask?",0.8055612541735173,D
"Larry, thanks for coming in today.",-0.35272489825223985,B
"Last, you will score for variety.",0.1015294336810491,B
Lastly the Popsugar Must have Mix.,0.3605986526916454,B
Later on I submitted to INTI.,0.0799263225275078,D
Learn how to speak English first.,0.23472931219474202,B
"Legend, you got Stephanie, that's dep.",-0.22347595070037446,D
Les an leisurely roam in frustration.,-1.3998505473136902,S
Let this be quick and simple.,-0.15859799915201506,B
Let's get it going once again.,-0.22052653967200014,B
Let's hope the best team wins.,-0.11221117523636207,B
Let's start with this month's bag!,-0.1537558512915242,B
Letters of Credit Issued for Subsidiaries.,0.11279936715933751,B
"Lettie said, 'Can I see it?",-0.10931909205747652,S
Levels of immunization closer Kaine disapp.,0.15510252565145488,D
Light from a fire burned inside.,0.14851175393578542,B
Light is made up of photons.,-0.1417613637428894,B
Like a late night comedy sketch.,0.14950390924356083,B
Like a voodoo priest or something?,-0.19397165094301289,B
"Like an idiot, I'd believed her.",0.28394002446039235,B
"Like sustaining, with a secret Quite.",0.5211153380572796,D
Likewise Shares begun in his ill.,0.7877367213368416,D
"Likewise, most bones are NOT GOOD.",-0.4258386433394941,D
List and UV was a NEIN!,0.18126958402423354,D
Little people will get that unity.,0.5249937906861305,S
Lola seaf out a low Sed.,-0.036689183488488195,D
Long after the flu epidemic ended.,0.21577184422823542,B
Long chandelier avocado colored earrings glistened.,0.40800775357645624,B
Look Schr in plus size Cath.,-0.8486948295496405,D
Look at that painting over there.,-0.39335919551752774,B
"Look, we have a big frame.",-0.5795501172542572,S
"Looking at the scene there, Daryn.",0.15581103770554092,B
Looking for a fun cultural emblem.,-0.018282545194961128,S
"Looking she's dying,"" akin Victoria simply.",1.230565606057644,D
Looks good and feels god ets..,0.5314213382608032,D
Looks like you had a blast!,-0.10561043512208848,B
Loop we had a wonderful view.,-0.5208103507757187,S
Los archivos.map los ha creado Bungie.,-0.23578191654101666,D
Lower sales will get their attention.,0.35760970517210233,B
Luke91 help pump to 0.20 ok??,0.4166439521226654,D
Lyal Claude Carr per Birth Reg'n.,-0.176667014513464,D
"Macaulay, you drew up Wynant's will.",0.8757680555762951,B
Made in Central PA by K.C.,0.18983857941001975,B
"Magic, Pokemon TCG, YuGiOh und mehr!!",0.288337951072629,D
Major feather in its cap: Google.,-0.04427077765082297,D
Make sure Manga did their Ltd!,0.7497428335249424,D
"Malaysia Airlines Conditions of Carriage, Viva!",0.5150456071641235,D
Many sin for the kind Def!,1.1158083528280258,D
Many soldiers served in his army.,-0.5495659384598135,B
Many villages survive along the coast.,0.18601330003398553,B
Mark an aircraft message as deld.,0.13736010231086987,D
"Martha said he owed, unpre women.",0.6342437710991362,D
Martin gave her a teasing pat.,0.5306970335471528,B
"Masters Degree, 1-2 years: ""salesforce support""",0.7457256925914103,D
Match cricket suit prediction 100 certain.,0.3920104157030131,D
"Maximum impact, least amount of effort.",-0.08353317395177508,B
Maybe have somebody else out there?,-0.0019723750650882804,S
Maybe it's legal to do so.,-0.44145082905888555,S
Maybe it's time for a rest.,-0.37052715384352297,B
Maybe not since I turned Pam.,0.6058699114004089,D
Maybe they had a platonic relationship.,0.004965859819452997,B
Mayko is relating to the Japanese.,0.2505100696551083,B
Mbps it strat been a Unt.,0.08509413227438925,D
Mc'm looking forward to some publicity.,0.01926261559128764,S
Meet at the NCC Visitor Centre.,-0.18545802805481046,B
Merck disputed the study as flawed.,0.3686851657716482,B
"Michael and All Angels Church, Lihue.",0.13564672633280844,B
Michael circumst for number one Rut.,-0.07950728423893454,D
Microsoft was the new computing infrastructure.,-0.02244421560526327,B
"Mild fever, slight headache, neck stiffness...",0.33729425326353885,B
Minimal wallet natural best minimalist rfid.,0.806704258800409,D
Miod says ocaml cabinets results hppa.,-0.43992527406662707,D
Miramar was founded September 20 1888.,-0.19574963489283528,B
Miss thought that might be interesting.,0.19389328062534328,S
Modern Einstein will be there IND.,0.4159811332821846,D
Mom couldn't hurt her any more.,-0.46766063272953035,S
Mom was stirring a sauce pan.,-0.024358552535505052,B
"Mommy, please don't call me that.",-0.15040460965248964,B
Morals and spirituality would become obsolete.,-0.014306946402419024,B
"More ""Free football picks week 13""",0.5879601736386694,D
More gravel would have been better.,-0.18046099193569748,B
"More importantly, it Maps PLoS solic.",0.6827322274446488,D
"More negatively earlier restitution, so real.",0.1810137663036585,D
"Most of all, it was huge.",0.01344381323761179,B
Most of them were elderly men.,-0.19103197002709066,B
Most unbelievable Tunisia can be Suff.,0.5128263154998421,D
Mother is cooking in the kitchen.,-0.7006917382166419,S
Mother it's what's best for us.,-0.5224682629108428,S
Mother particular fingertips on her glasses.,0.5653490122407675,S
Moving and can't bring with us.,0.8473498555284721,B
Mr. Guarino has denied the charges.,-0.05110114692513534,B
Mu didn't want them to know.,-0.2764460623264313,S
Muri knew secrets about his father??,0.25138963112666607,D
Murray's now 24 collide a ball.,0.6337295576930047,S
Must I can do is pray.,0.9051566328853369,S
My Englishman was an extraordinary swordsman.,0.2802591878920794,S
My assistant is bringing them out.,0.2991032789512431,B
My favorite so far in Bellevue.,0.0676015422297481,B
My heart just started to pound!,0.22748530974147832,B
My marriage was because of them.,0.2713783350065446,B
"My price, however, was much higher.",-0.02046875333888451,B
My skin feels like melting wax.,-0.19078987880312362,B
"My, Miles, she was incredibly relaxed.",0.03859057873487473,S
NCAA Pac-12 Football Recruiting: yes. true.,0.15648979982737984,D
"Nasser sighed, apparently weighing the same..",0.2612177802319981,D
Naz dog has since been Answers.,-0.07658364437520504,D
Never been to Cairns Airport before?,-0.12144046754305782,B
Next message: coreutils - tail -f broken???,-0.022815670445804587,D
"Nice selection, very clean, friendly staff!",0.13138219258819356,B
Nice you for sharing this grin.,-0.18442600071430204,S
Nick is transformations negatively guy Anti?,1.0910419635474682,D
Nico hears his dad and smiles.,0.15162583901153975,B
Nifedipine No Prescription Maison De La.,0.6045395702476994,D
Nine they were showing live fireworks.,1.3406240820884705,S
No I think just the opposite.,0.03930254469916048,B
"No Legal, Tax or Investment Advice.",-0.30175075453332945,B
"No chemical odor, merely salt water.",0.2967186410442997,B
"No chicken soup, I want tomato.",0.18734797353755922,B
"No look, really, this isn't nescess...",-0.4891619162528437,D
No one expected me to win.,0.004086743481202975,B
No one's coming to get you.,-0.2343530286701237,B
No response to known prescription drugs.,0.4079929072460917,B
No rocks blared from the Palace.,0.012830139696598047,S
No stuffed animals resembling a kangaroo?,-0.08344980799634996,B
"No, I'm talking about the staff.",-0.03447034479459092,B
"No, the man was not drunk.",0.0701758559041213,B
"No, you know what I thought?",-0.0027280377224087665,S
Nobody can handle this by ourselves.,-0.4448574960231781,S
Nobody pointed to the top deck.,-0.7421483665704727,S
Non owners car insurance quotes IN.,0.5979612416708661,D
Nordmann considered it all very carefully.,-0.29794698706791933,B
"Not Reuters a year ago, no.",0.408993698656559,D
"Not just physically but intellectually, emotionally.",-0.10856205590695636,B
"Not on our calendars, but His.",0.623200225266453,D
Not some innate sense or skill.,-0.02244576110375356,B
"Nothing at all, businesses ORIG whatsoever.",0.15262878984212877,D
"Nothing broken, just very badly bruised.",-0.021064682608452366,B
Nothing hits you in the gut.,0.24852372705936432,S
Notice how you reacted to WTF.,0.9523216505149485,D
"Now ""the easy comparisons are over.""",0.206131934038616,B
Now I'm 388 Protest the INTER.,-0.47660794407129287,D
Now he must find the key.,-0.2600782818066839,B
Now the government must do that.,-0.04006228431147041,B
Nutritionist chemical products success the which?,-0.1302941475225383,D
Nykyrian gave him a menacing hug.,-0.05632502064108852,S
ODY Mason to glowing more prob.,-0.10969517976045608,D
Objective resume sales under fontanacountryinn com.,0.2589847230040334,D
Observatories also stood at the ready.,-0.011583351282094579,B
Of the Earth and the Moon.,-0.10885859325649849,B
Of what crime is he accused?,-0.33166332966468165,B
Off'm sure it's just an oversight.,0.10675518605858086,S
Oh Hjalmar Wentz must have been.,0.6997755445045353,B
"Oh, and an amusing little monkey.",0.30625984943962226,B
Oklahoma's Mine cooperatives Ivan induced seriously.,0.4258472044020891,D
Older PostVideo Conferences Yes or No?,1.0196399796521158,D
"On the surface, it made sense.",-0.014077718648375315,B
"On your ear, you've got something.",0.07079878902868939,B
"OnMouseClick: show 1 div, hide others???",-0.09338625551964537,D
"Once they cleared orbit, she shouted.",-0.5340591847896576,S
One executive even bought additional shares.,0.10072288692457945,B
One of the little girls said.,-0.07881863830066245,B
"One tug, and he went flying.",-0.013209465008049703,B
"One, two, three, four, five, six-",-0.194624216362556,B
"Online Resumes with ""New Albany IN""",0.6815793038960057,D
Open Shelving Kitchen Ideas Danielsantosjr Com.,-0.35121567277870436,D
"Open crate for airhorn, signifying endex.",-0.015482885989290873,D
Opinion of Counsel for the Underwriters.,0.36463257390711734,B
Opposite ends of the same axis.,0.10222601707141446,B
Options available for lower credit scores.,0.06940782297357548,B
Or a cat and a dog.,-0.08506290014740923,B
"Or business is, items potsdam, former.",0.3011625498451232,D
Or maybe it Parliament too DOM.,0.7943127661943435,D
Or threaten them in some way?,-0.21430301282878855,B
Or was she purposely ignoring it?,-0.13954420740225754,B
Or who she was Javascript Azerb.,-0.13788091093301774,D
Or you can pick Reply LAT.,0.15418688897043464,D
Or you can use Meeting Mapper.,0.08553307645010405,B
"Or, his personal favorite, Riley the.",0.21386791285056686,D
Oracles were revered in premodern societies.,0.5992711979802994,B
"Orange, brought to you by EE!!",-0.007640608557996087,D
Ordered an investigation of Lumumba's death.,0.30956901341793475,B
Originally Herz was a sentence PRESS.,0.1520554073154926,D
"Originally far, leaked Chemical't Law bad.",0.3107055239379406,D
Others invoked technology and common sense.,0.013527497780505448,B
