condition,model,language,r,r_mean,r_se,r_random,r_mean_random,r_se_random
experimental,xglm_xl,Russian,"[0.39809614880238475, 0.31301970911000504, 0.1019970791604751]",0.27103764569095495,0.07186489638727502,"[0.17114253054211148, 0.06182159321235041, 0.11515308670699825]",0.11603907015382005,0.025769730562405613
experimental,nllb200_distilled_600M,Mandarin,"[0.1395941300520219, 0.37576848287099207, 0.023176020606081753]",0.1795128778430319,0.0846896175328997,"[-0.08263384259370768, -0.07498957919586038, -0.002820594617926421]",-0.05348133880249816,0.0207604963638203
experimental,nllb200_distilled_1B,Mandarin,"[0.11525467752032204, 0.22288299567010328, 0.038146588206996124]",0.1254280871324738,0.04374041801849293,"[-0.014040854525896347, 0.012636339842639555, -0.016347716816696778]",-0.005917410499984524,0.007594027510550594
experimental,nllb200_1B,Mandarin,"[0.13581727154782058, 0.20110005130551933, 0.07464714090256891]",0.13718815458530295,0.029810490799086875,"[-0.0046920424834800065, 0.07338379178937021, -0.03118049592967007]",0.012503751125406712,0.025626349525123687
experimental,xlm_align,Mandarin,"[0.2086047407928049, 0.08301252874315505, -0.024580736039947648]",0.0890121778320041,0.05501689335169201,"[-0.010039239094812392, 0.1398712379644256, -0.0038862847898352773]",0.04198190469325932,0.039989459410852204
experimental,infoxlm_base,Mandarin,"[0.0809009916856508, 0.08521140825793383, -0.15481144167752364]",0.003766986088686993,0.06474734355315989,"[-0.055045591693383564, 0.09409368533848332, -0.007364642475459399]",0.01056115038988012,0.0359061478047215
experimental,infoxlm_large,Mandarin,"[0.14307096872943414, 0.24819902933526294, -0.13929736023796613]",0.08399087927557698,0.0944648149788866,"[0.038242975066207135, 0.07359639147969455, -0.05914753561722924]",0.017563943642890812,0.03240697558905501
experimental,multiminilm,Mandarin,"[0.11192589215377512, 0.1618988396205399, -0.042226378190096746]",0.07719945119473944,0.050158017887518926,"[0.04651064767170654, 0.14463763461218138, 0.010642981871025836]",0.06726375471830458,0.03269950842264345
experimental,xlmr_base,Mandarin,"[0.08983503905723665, 0.10341298810068228, 0.004326456996629757]",0.06585816138484957,0.02532325746443838,"[-0.0041625927523863335, 0.023407074717111637, -0.01760235581480267]",0.0005473753833075447,0.009855412478175691
experimental,xlmr_large,Mandarin,"[0.20191317906092024, 0.23766132587851385, -0.061486974132431246]",0.1260291769356676,0.07701545686674217,"[0.08747778635321393, 0.07996817357465426, -0.043397665143113245]",0.04134943159491832,0.03464310537519194
experimental,distilmbert,Mandarin,"[-0.014675775433155494, 0.259919658432886, -0.023238994705921116]",0.0740016294312698,0.07592754925579856,"[-0.01302776585001118, 0.008569904084298443, 0.009941399739316938]",0.0018278459912014003,0.006073387348195865
experimental,bert_base,Mandarin,"[0.10189628018544304, 0.17186354518251035, -0.13785080077587758]",0.04530300819735861,0.07656927560327458,"[0.04785394419522325, 0.01963429472978048, 0.02635382561454808]",0.0312806881798506,0.006948902951644009
experimental,mdeberta,Mandarin,"[0.1256308230623695, 0.18567250871700597, 0.09028180181392477]",0.13386171119776674,0.022733516032943536,"[0.010691424470748959, 0.0063471269581221595, -0.03031939275513771]",-0.00442694710875553,0.010620026013597513
experimental,mt5_small,Mandarin,"[0.01815894567364656, 0.061937072480917454, -0.0069964724973561685]",0.024366515219069282,0.016444241447752143,"[-0.03691382513314699, -0.0011182286878180583, 0.026515678431900662]",-0.0038387917963547957,0.014991676048525852
experimental,mt5_base,Mandarin,"[0.23205472732642718, 0.1979366259566769, -0.008235824069277059]",0.14058517640460902,0.06128581283499186,"[0.006916800332855053, -0.016961266650071874, -0.017837196512916424]",-0.009293887610044415,0.006621205260670789
experimental,mt5_large,Mandarin,"[0.17456374451045983, 0.14067332595215015, 0.12054164495165025]",0.1452595718047534,0.012870051786573479,"[-0.022837971218568107, 0.04012197669632664, -0.024866912886030268]",-0.002527635802757245,0.01741819760935863
experimental,mgpt,Mandarin,"[0.11891610074078103, 0.44665970085612194, -0.25708510633720605]",0.10283023175323232,0.1660041865594607,"[0.1369230801499357, 0.3064065111189301, -0.1870932589735361]",0.0854121107651099,0.11820466313940656
experimental,xglm_small,Mandarin,"[0.08247631105202811, 0.39328507855479106, 0.010150141634369392]",0.16197051041372953,0.09596016623969243,"[-0.006631068408598319, 0.16241853735059383, -0.08360859647330482]",0.024059624156230235,0.05932729670037085
experimental,xglm_med,Mandarin,"[0.0571787493164086, 0.20773240764984663, 0.1848384277646532]",0.14991652824363613,0.03824266177687603,"[-0.03061440430609246, 0.02354106473419755, -0.13231525897666538]",-0.046462866182853425,0.037301113233493846
experimental,xglm_large,Mandarin,"[0.06400537778538946, 0.23932710987635694, 0.27274080183357263]",0.19202442983177304,0.0528536280005533,"[0.0384834120806988, 0.0037603759540868146, -0.14541550109691914]",-0.03439057102071117,0.046058715264763836
experimental,xglm_xl,Mandarin,"[0.04689041274079741, 0.23775152352378304, 0.25483506569743597]",0.17982566732067215,0.05441976415066257,"[0.08005643015345296, 0.11388907578092744, -0.10634058704918428]",0.029201639628398706,0.05590653586731764
experimental,nllb200_distilled_600M,Polish,"[0.12315674275176561, 0.061559429947125634, 0.3894412958698568]",0.19138582285624936,0.08214896364960833,"[-0.09779566408192872, 0.034425373339316626, 0.264095559030522]",0.06690842276263664,0.08632326288284674
experimental,nllb200_distilled_1B,Polish,"[-0.05221402813952082, 0.09488912956612318, 0.2702140814535851]",0.10429639429339582,0.07609401193579592,"[-0.05197910989952993, 0.08006093273134825, 0.22771691896538815]",0.08526624726573549,0.06595922749910264
experimental,nllb200_1B,Polish,"[0.10221104113875912, 0.08888993831143731, 0.3569266337419217]",0.18267587106403937,0.07120683357578318,"[-0.026044669702667216, 0.11233673132887391, 0.34059753065705733]",0.14229653076108803,0.08727965011345108
experimental,xlm_align,Polish,"[-0.018230250338592928, 0.16097825653661021, 0.17050398112455123]",0.10441732910752284,0.050120979007962516,"[0.028693184751676613, 0.044149836500619086, 0.32405632818672037]",0.1322997831463387,0.07836900811076045
experimental,infoxlm_base,Polish,"[0.15636579945728213, 0.1298172009703745, 0.35840125164614034]",0.21486141735793232,0.05893305060456206,"[0.018651743627711485, 0.09128086397991178, 0.24825988353916384]",0.11939749704892903,0.05532305782051175
experimental,infoxlm_large,Polish,"[0.022974801653045163, 0.1585287359478866, 0.23192066699294497]",0.1378080681979589,0.049970220497728125,"[-0.01683544922486731, 0.011815288854102234, 0.18531733282021637]",0.06009905748315043,0.051564261001652366
experimental,multiminilm,Polish,"[0.056164626478344214, 0.2479050553058922, 0.1515772901987085]",0.15188232399431498,0.045193824051904724,"[-0.016290868749945158, -0.03090444022107459, 0.1297146164657333]",0.02750643583157118,0.041868241104139454
experimental,xlmr_base,Polish,"[-0.007771863064929601, 0.15688991069560462, 0.28357392284502775]",0.14423065682523425,0.06886506011886748,"[0.024526650022198507, 0.04233426087414156, 0.17353798168209697]",0.08013296419281235,0.03836274442793493
experimental,xlmr_large,Polish,"[-0.11872231820651946, 0.13201077112236814, 0.048504042984167946]",0.020597498633338877,0.0601864730729156,"[-0.02398881675665461, -0.0070879589740528055, 0.15731594649986103]",0.04207972358971787,0.047213345691879405
experimental,distilmbert,Polish,"[0.2394784811183387, 0.16322919374666833, -0.0782878755307221]",0.10813993311142832,0.07820199533190042,"[-0.02049870054202754, 0.022807832102815354, 0.0950328534150263]",0.03244732832527137,0.027513935481254945
experimental,bert_base,Polish,"[0.15715274424471892, 0.18163924930139738, 0.006135042901488811]",0.11497567881586838,0.04480726690109685,"[-0.06825126866221135, 0.005241473730938341, 0.1276089795933472]",0.021533061554024725,0.046641352865433
experimental,mdeberta,Polish,"[0.13892299386783366, 0.2769544284138068, 0.16500344561098287]",0.1936269559642078,0.03456924850342087,"[0.014273055215718547, 0.0033044617735933195, 0.0007887497497039977]",0.006122088913005288,0.003380035847862519
experimental,mt5_small,Polish,"[-0.05785930603743904, 0.1588128876760291, 0.01554638511735581]",0.03883332225198196,0.051947454141416764,"[0.028166745200232712, -0.00739660805792156, -0.12304096126555529]",-0.034090274707748044,0.03726886249663837
experimental,mt5_base,Polish,"[0.09503649962820504, 0.023723838775544185, 0.014261930779232749]",0.04434075639432732,0.020816263472258147,"[0.021079973527356244, -0.020349920661295498, -0.0033080493929313927]",-0.000859332175623549,0.009816156694489559
experimental,mt5_large,Polish,"[0.09920694910835151, 0.2867617396086329, 0.19653402474190118]",0.19416757115296188,0.04421764337869007,"[0.017940635022083002, 0.011430122440343558, -0.058718189560052]",-0.009782477365875147,0.020036769752314696
experimental,mgpt,Polish,"[-0.05392650116218672, 0.15453437259413252, 0.22138327889637655]",0.10733038344277412,0.06769216464230601,"[0.0748607648504317, 0.0384938328948421, 0.19578810077257142]",0.10304756617261507,0.03881936373449581
experimental,xglm_small,Polish,"[0.14205268419243883, 0.17782686843679063, 0.19397093934741813]",0.17128349732554918,0.012525423778228519,"[0.015266206587337391, -0.060692389141695335, 0.024645547192375487]",-0.006926878453994152,0.022060727358706476
experimental,xglm_med,Polish,"[0.2612387056588106, -0.014699846593799437, 0.0043867968801961955]",0.08364188531506911,0.07264303581659694,"[0.028375400190006214, 0.0464723025665048, 0.012817915444964918]",0.029221872733825306,0.007939938846072879
experimental,xglm_large,Polish,"[0.02887380950083283, 0.037876787628131674, 0.14153561766103107]",0.06942873826333186,0.029513894829934332,"[0.0424986263253137, 0.054185289936029855, 0.20087027819626715]",0.09918473148587025,0.04160423945794132
experimental,xglm_xl,Polish,"[-0.053285969476920124, 0.27946663679859235, 0.20179479029620576]",0.142658485872626,0.08206217307145884,"[0.14356944887004222, 0.0035367917392452007, 0.2123977797483011]",0.11983467345252952,0.050173549364225266
