,Sentence,EffectSize
437,"She has to use solid elements of design, like strong composition and lighting.",0.39729714
438,She might have been a statue but for the glow of her eyes.,1.0154337
439,"She pressed her wings to her sides and settled down, half-closing an eye.",0.8313825
440,She told interviewers that being blind was an advantage to a pianist.,0.70053273
441,She uses digital animation to help doctors understand structures within a patient's body.,0.7196005
442,Shears are large scissors used for cutting shrubs or pieces of metal.,0.74163014
443,Ships are used to fish in the ocean and to transport cargo containers.,0.48860517
444,"Shoes are usually made of leather, canvas, rubber or plastic.",0.16480763
445,Shorter jackets are on the cutting edge of wedding fashion for men.,0.63734996
446,"Signs of infection include tenderness, swelling, or redness around the earlobe.",0.17932479
447,Some animals and plants have adapted to live in deserts.,0.24717218
448,"Some apartments are for single people, others for families.",0.71409285
449,Some computer science conferences have art exhibitions that showcase the latest graphics technology.,0.5686789
450,Some native people still use the spear for hunting and fishing.,0.57163066
451,"Some patients go there for specialist diagnosis or therapy, leaving the same day.",1.1377928
452,Some people can adapt to different levels of stress.,0.19115579
453,Some people collect butterflies because of their colorful wings.,0.2355863
454,Some refrigerators can have a small compartment at freezing temperature.,0.5600498
455,Some studies indicate that having a casino nearby makes gambling problems more likely.,0.7478452
456,Some think ramps were built inside the pyramid's walls to raise stone blocks.,0.3309244
457,Some very tart apples are used to make cider.,0.5961917
458,Some windows have multiple panes to increase insulation inside.,-0.059631653
459,Spears are weapons that consist of a pole and sharpened head at one end.,0.32785648
460,Spears were used for stabbing or throwing when fighting in war.,0.6672323
461,Spectacular castles in dramatic locations provide a record of the stormy history of many regions.,1.0134834
462,Speech sounds are controlled by tongue placement in the mouth.,0.4264819
463,Spiders are insects with eight legs that make silk.,0.10322589
464,Spiders build webs with silk and use them to catch insects.,0.4295662
465,Spiders can be as small as a coin or as big as a bird.,0.74077845
466,"Swamps are low, spongy land subject to frequent inundation.",0.45170122
467,Swamps are nesting and breeding grounds for birds and reptiles.,0.24946605
468,Sweaters are often knitted from wool but cotton is also common.,0.34968033
469,"Sweaters differ in cut, collar and sleeve shape, as well as decoration.",0.55186677
470,Tables are also used as surfaces to work or write on.,0.59787375
471,Tear gas grenades are thrown into the middle of a mob to disperse it.,1.2070073
472,Television content can be broadcast or received via cable or internet.,0.5615494
473,Televisions are mostly used for watching programs or films.,0.34529242
474,"That is, a taste bud on the tip of the tongue would respond only if you were eating something sweet.",0.5696387
475,The adults set up climbing routes appropriate for beginners.,0.651639
476,The axe is a tool used to split and cut wood.,0.38783738
477,The axe usually consists of a head attached to a handle.,0.58873314
478,The bald eagle has a bright white head and is the national bird of the United States.,0.608916
479,The barred owl has spread well beyond its previous habitat.,0.36662892
480,"The beekeeper checks honey stores, pollen supplies, and the bee nursery.",0.5771909
481,The biggest hot desert is the Sahara in northern Africa.,0.49985442
482,"The blades are usually metallic, with plastic or metal handles.",0.49491394
483,The blades may be powered by muscle or the machine may have a motor.,1.0613571
484,The blubber in a whale serves as an energy reservoir and as insulation.,0.48271984
485,"The building can have a garage, a laundry facility or extra storage space.",0.6650698
486,The butterfat in milk and cream is what makes it smooth and silky.,0.6610518
487,The care that the pyramid builders took in their craft is evident.,0.7290246
488,The cell carries a taste message to taste nerves beneath the cell.,0.9343457
489,The clarinet is used both in jazz and classical music.,0.17867035
490,The claw on the head can be used to remove nails.,0.38961956
491,The claws of cats are retractable so that they keep sharp.,0.33315468
492,The climber relies solely on her skill and physical strength to ascend a rock face.,0.6842275
493,"The commanders of shuttle flights are always pilots, and many have backgrounds as military test pilots.",1.0351039
494,The computer graphics specialist works with doctors to visualize medical conditions and surgical procedures.,0.678925
495,The concert pianist went blind in adulthood.,0.22108622
496,"The driver steers the car on roads, other passengers just sit.",0.6911025
497,The eagle owl is an impressive bird.,0.017381677
498,The elephant flaps its large ears to cool the blood in them and its body.,1.0849495
499,The eye is an organ for sensing light and coding it for the visual cortex.,0.6367273
500,"The fingertips are sensitive to temperature, pressure and vibration.",0.7060512
501,The food is cooked on oil covering the bottom of the pan.,0.18203181
502,The fovea is the center of the human eye and the most sensitive part of it.,0.6426912
503,The government defines blindness as vision insufficient for the ordinary activities of life.,0.8908989
504,"The greatest producers are tropical countries, such as India or Ecuador.",0.86713326
505,The grooves make the bullets spin around the rifle axis as they fly through the air.,0.88131005
506,The hardest part was the horror of leaving a casino after losing money I did not have.,1.3724061
507,The hospital has seen infection rates drop since the new measures began.,0.4768543
508,The man wore a jet black tuxedo with satin stripes.,0.3829341
509,The market for admission to law school and for new lawyers could eventually crash.,1.1242169
510,The medieval castle was not a structure built primarily for defense.,0.57977754
511,The most common power source for lawn mowers is a small gas engine.,0.49211362
512,The mouth has teeth to chew food and mix it with saliva.,0.7812097
513,The mouth is also used for kissing and talking.,0.61849415
514,The mouth is the face cavity we put food in when we eat.,1.1548018
515,The nail protects the tip of the finger and can be grown or decorated.,0.7725548
516,The opera singer has worked hard to win the role in the new production.,0.60536397
517,The owl landed on a thick branch and gripped it with her talons.,0.6588146
518,"The piano has an enormous note range, and pedals to change the sound quality.",0.84400773
519,The piano is a popular musical instrument played by means of a keyboard.,0.48701558
520,The piano repertoire is large and famous pianists can give solo concerts.,1.411375
521,The player chooses notes by pressing keys and holes.,0.30228555
522,The polar bear will crawl quietly forward and freeze in place when the seal looks around.,0.5057396
523,The raspberry is a fruit that grows in forest clearings or fields.,0.43768933
524,The reason he came to law school in the first place was cliche.,0.54933614
525,The screwdriver tip applies the torque from rotating the handle.,0.81624836
526,The seal is an important part of the polar bear's diet.,0.21465991
527,The severity of the crime depends on whether people were harmed.,0.7140451
528,The shaking can also trigger landslides and volcanic activity.,0.1791816
529,The sharp blades underneath the lawn mower precisely sever each blade of grass.,0.5073361
530,The shirt should always be plain white and the tie should be black and match the jacket lapels.,1.0680536
531,"The skin of a peach is thin and covered in small, fine hairs.",0.36508188
532,The small sharp points along the cutting side of the saw are called the teeth.,0.69849074
533,The smell inside the pyramid was chalky and the air was thick.,0.55505484
534,The stones covering the pyramid were precisely fitted together and polished until the structure gleamed.,0.5950824
535,The strongest storms deposited layers of windblown beach sand at the bottoms of coastal lakes.,0.7051509
536,The team of astronauts floated out together to the exterior of the space shuttle.,0.59048396
537,The term is used to indicate sex distinctions relative to girls.,1.0698354
538,The thick outside walls sheltered an inner courtyard hundreds of feet above the river.,0.9251893
539,"The tomato is a shiny and smooth red fruit, with a savory taste.",0.27804047
540,"The train is pulled by a locomotive, powered by diesel or electricity.",0.021765748
541,The two major types of screwdrivers are Phillips and flathead.,0.52087617
542,The type of forest depends on temperature and rainfall in its location.,0.39286655
543,The violin is an instrument with four strings that is played with a bow.,0.28453824
544,The wheels have rubber tires with an inner tube full of air.,0.5551232
545,"The wind from the hurricane shook the house, shattering a window in the kitchen.",0.2660338
546,The wings of butterflies can be very colorful and patterned.,0.14592709
547,Theft is a crime and can be punishable with jail or fines.,0.1473972
548,Theft is the taking of person's property without their consent.,0.5977022
549,Their appearance and abilities makes them popular pets.,0.5994004
550,Then I put the container of half-frozen ice cream into the freezer to harden.,0.54516596
551,"Then, I started taking yoga to try to manage my stress level.",0.5010416
552,There are a few different types of bone fracture.,-0.046908606
553,"There are also traumatic stresses, such as divorce or loss of a child.",0.44873512
554,"There are everyday stresses, like being stuck in traffic.",0.58914036
555,"There are many varieties of tomato, with different sizes and tastes.",0.2664462
556,There are usually chairs around a table for people to sit.,0.5973321
557,There are waiting rooms and places to eat in a station.,0.54221463
558,These causes can often be prevented by medicine and vitamin supplements.,0.35571966
559,They allow bread to be cooked with toppings like garlic or cheese.,0.8662961
560,They also conduct health and wellness screenings and provide vaccines.,0.4440435
561,They also need less maintenance and are less expensive to run.,0.32173204
562,They are also used to make cold alcoholic drinks with crushed ice.,0.26188344
563,They are becoming front-line health advisers because people go to pharmacies often.,0.51484495
564,They are built in places where snow covers the land most of the time.,0.60122776
565,They are cooked by boiling and are a great source of protein.,0.49587643
566,They are meant only to stop the climber if she falls.,0.521055
567,They are used to lift food to the mouth or to hold food in place while cutting.,0.52733314
568,They are used to play videogames when connected to a game console.,0.60574484
569,They can also cause high waves and coastal flooding.,0.5887594
570,"They can be red, green, brown, black or yellow.",0.39411435
571,"They can hunt mice or birds, but are often fed by their owners.",0.3616074
572,They can imitate the human voice if they hear it repeatedly.,0.58382976
573,They carried tools needed to repair the broken part on the huge telescope.,0.5527605
574,They dump heavy rains that can trigger floods and mudslides.,0.20526905
575,"They eat fish, insects, lizards, mammals and carrion.",0.68995404
576,They finally finished drafting a petition for several evicted families at sunrise.,0.90442675
577,"They have hooked beaks for tearing flesh, strong legs and sharp talons.",0.64520097
578,They have improved hand washing habits and ensured that infected patients are isolated from other patients.,0.58851033
579,They have large brains and are capable of problem solving.,0.63287425
580,They live and attack in schools and are most active during the day.,0.84461045
581,"They make objects like weapons, horse shoes or iron furniture.",0.44266623
582,They may attack out of hunger because they live in a food-scarce environment.,0.67001134
583,They may spend 8 to 10 hours in the pool for every hour they will spend floating in space.,0.98359114
584,"They recorded if they recalled any dreams, and described each dream and its emotional intensity.",0.9962787
585,"They scout the fields, know when nectar flows, and select the best ways to extract honey.",1.2003855
586,"They signed their work, decided on its subject and imagery, and established a personal relationship with their patrons.",0.74209356
587,They use their large wings to soar for miles without flapping.,0.39100286
588,"They use tools such as hammers, saws, pliers and planes.",0.29028463
589,They use venomous fangs to paralyse their stuck prey.,0.7014549
590,They were built using logs with notch joints at the ends.,0.21330766
591,They were the most common personal weapon before the advent of firearms.,0.44643587
592,"They will sneak up on people slowly, careful to conserve their energy.",0.8297731
593,Thieves steal to own something or to sell it to receivers.,0.6780134
594,"This has led to more injuries, particularly to ligaments in the skier's knee.",0.7307059
595,This led into the chamber at the pyramid's center.,0.40845165
596,This may overlook those who have vision problems but who do not meet the standard.,0.6375717
597,"This owl hunts at night, flying swiftly and silently through the darkness.",0.045871377
598,"To produce the finest honey, beekeepers become micromanagers of their honeybees.",0.93702036
599,"Toaster ovens have a door on the side, a tray within and temperature control.",0.8834684
600,"Today, they stand atop rocky cliffs overlooking beautiful landscapes and quaint villages.",0.42800555
601,"Tomatoes can be used to make salads, soup or ketchup, as well as sauce.",0.67931396
602,Traditionally boys like to play rough games and fight with each other.,0.43159384
603,Train stations have counters or machines for purchasing tickets.,0.38351795
604,Trees drenched by passing hurricanes preserve a record of each storm in their growth rings.,0.81803536
605,Unripe bananas and plantains are staple foods and often cooked like potatoes.,0.85849035
606,Upon leaving the train station we saw our hotel looming above:  a magnificent castle built on a cliff.,0.8866289
607,"Vultures are scavenging birds, feeding mostly on the carcasses of dead animals.",0.25298503
608,"Vultures seldom attack healthy animals, but may kill the wounded or sick.",0.889172
609,"Walls are usually made of stone, brick, or cement, as well as drywall.",0.7717335
610,"Walls delineate a building, support the roof, and divide the space into rooms.",1.0583327
611,Water freezes at a low temperature and becomes solid ice.,0.2068395
612,"Water is the most common liquid on Earth, covering 70% of its area.",0.6070078
613,"We dream throughout the night, in cycles of about ninety minutes each.",0.96148425
614,"We poured the cream mixture into a frozen tub, then started turning the crank to expose it to the cold.",0.4535787
615,"We ran in, grabbed some food, slammed the door, and surrendered the kitchen to the hurricane.",0.8848923
616,Whales breathe through blowholes on their heads when surfacing.,0.45229313
617,"Whales have been hunted for meat, whale oil and ambergris.",0.89423233
618,"When I decided to start playing cards, things went from bad to worse.",0.74052405
619,"When I use the riding lawn mower, the uncomfortable chair makes my back hurt.",0.3939213
620,"When hunting, they will wait by a seal's breathing hole, or stalk seals that are basking on the ice.",0.8432422
621,"When my company was downsizing, I felt incredibly stressed and worried.",0.7396881
622,"When open, a window will also let air and sound through.",0.35150635
623,"When ripe it can be yellow, purple or red and have small brown spots.",0.43404087
624,"While some owl species have become endangered, others are thriving.",0.5418389
625,"While the tuxedo is still preferred, today's grooms are making personal statements in wedding attire.",1.0681671
626,Women's shoes often have high heels and come in many styles and colors.,0.64111906
