English Sentence,af,nl,fa,fr,lt,no,ro,es,ta,tr,vi,mr
A man is a male human adult.,'n Man is 'n manlike volwasse mens.,"Een man is een mannelijke, volwassen mens.",مرد یک انسان بالغ مرد است.,Un homme est un être humain adulte de sexe masculin.,Vyras yra suaugęs vyras.,En mann er en mannlig voksen.,Un bărbat este un bărbat adult.,Un hombre es un ser humano adulto de sexo masculino.,ஒரு மனிதன் ஒரு ஆண் மனித வயது வந்தவன்.,"Erkek, yetişkin bir erkek insandır.",Đàn ông là một người đàn ông trưởng thành.,एक माणूस हा पुरुष मनुष्य प्रौढ आहे.
A mitten is a kind of glove where the four fingers are covered together.,'n Handskoen is 'n soort handskoen waar die vier vingers saam bedek is.,Een want is een soort handschoen waarbij de vier vingers samen bedekt zijn.,دستکش نوعی دستکش است که در آن چهار انگشت به هم پوشانده شده است.,Une mitaine est une sorte de gant où les quatre doigts sont recouverts ensemble.,"Kumštinė pirštinė yra tam tikra pirštinė, kai keturi pirštai yra uždengti kartu.",En vott er en slags hanske hvor de fire fingrene er dekket sammen.,O mănușă este un fel de mănușă în care cele patru degete sunt acoperite împreună.,Una manopla es una especie de guante en el que los cuatro dedos están cubiertos juntos.,கையுறை என்பது நான்கு விரல்கள் ஒன்றாக மூடப்பட்டிருக்கும் ஒரு வகையான கையுறை.,"Eldiven, dört parmağın bir arada tutulduğu bir çeşit eldivendir.",Găng tay là loại găng tay có bốn ngón tay được bao phủ lại với nhau.,मिटन हा एक प्रकारचा हातमोजा आहे जिथे चार बोटांनी एकत्र झाकलेले असते.
A mountain is a landform that rises steeply above surrounding land.,'n Berg is 'n landvorm wat steil bo omliggende land uitstyg.,Een berg is een landvorm die steil boven het omringende land uitsteekt.,کوه به شکل زمینی گفته می شود که با شیب تند از زمین های اطراف بالا می رود.,Une montagne est un relief qui s'élève abruptement au-dessus des terres environnantes.,"Kalnas yra reljefo forma, stačiai iškilusi virš aplinkinės žemės.",Et fjell er en landform som hever seg bratt over omkringliggende land.,Un munte este o formă de relief care se ridică abrupt deasupra pământului înconjurător.,Una montaña es un accidente geográfico que se eleva abruptamente sobre el terreno circundante.,மலை என்பது சுற்றியுள்ள நிலத்திற்கு மேல் செங்குத்தாக உயர்ந்து நிற்கும் நிலப்பரப்பு ஆகும்.,"Dağ, çevresindeki araziden dik bir şekilde yükselen bir arazi şeklidir.",Núi là dạng địa hình nhô cao hơn hẳn so với vùng đất xung quanh.,पर्वत हा एक भूस्वरूप आहे जो आजूबाजूच्या जमिनीच्या वरती चढतो.
A mug is a sturdy cup with a handle for drinking hot liquids.,'n Beker is 'n stewige beker met 'n handvatsel om warm vloeistowwe te drink.,"Een mok is een stevige beker met een handvat, geschikt om warme dranken uit te drinken.",لیوان یک فنجان محکم با دسته برای نوشیدن مایعات داغ است.,Une tasse est une tasse robuste avec une poignée pour boire des liquides chauds.,Puodelis yra tvirtas puodelis su rankena karštiems skysčiams gerti.,Et krus er en solid kopp med håndtak for å drikke varme væsker.,O cană este o ceașcă robustă cu mâner pentru a bea lichide fierbinți.,Una taza es una taza resistente con asa para beber líquidos calientes.,குவளை என்பது சூடான திரவங்களைக் குடிப்பதற்கான கைப்பிடியுடன் கூடிய உறுதியான கோப்பை.,"Kupa, sıcak sıvıları içmeye yarayan, saplı, sağlam bir kaptır.",Cốc là loại cốc chắc chắn có tay cầm để uống chất lỏng nóng.,मग हा एक मजबूत कप आहे ज्यामध्ये गरम द्रव पिण्यासाठी हँडल असते.
A mug is thick and has a ring base for thermal insulation.,'n Beker is dik en het 'n ringbasis vir termiese isolasie.,Een mok is dik en heeft een ringbodem voor thermische isolatie.,یک لیوان ضخیم است و دارای پایه حلقه ای برای عایق حرارتی است.,Une tasse est épaisse et possède une base annulaire pour l'isolation thermique.,Puodelis yra storas ir turi žiedinį pagrindą šilumos izoliacijai.,Et krus er tykt og har en ringbunn for varmeisolasjon.,O cană este groasă și are un inel de bază pentru izolare termică.,Una taza es gruesa y tiene una base en forma de anillo para aislamiento térmico.,ஒரு குவளை தடிமனாக உள்ளது மற்றும் வெப்ப காப்புக்கான வளைய அடித்தளத்தைக் கொண்டுள்ளது.,"Kupa kalın olup, ısı yalıtımı için halka şeklinde bir tabana sahiptir.",Cốc dày và có đáy hình tròn để cách nhiệt.,एक मग जाड आहे आणि थर्मल इन्सुलेशनसाठी रिंग बेस आहे.
A painter must keep many elements in mind while completing a painting.,'n Skilder moet baie elemente in gedagte hou terwyl hy 'n skildery voltooi.,Een schilder moet bij het maken van een schilderij met veel elementen rekening houden.,یک نقاش هنگام تکمیل یک نقاشی باید عناصر زیادی را در ذهن داشته باشد.,Un peintre doit garder de nombreux éléments à l’esprit lorsqu’il réalise un tableau.,Baigdamas tapybą tapytojas turi turėti omenyje daugybę elementų.,En maler må huske på mange elementer mens han fullfører et maleri.,Un pictor trebuie să țină cont de multe elemente în timpul finalizării unui tablou.,Un pintor debe tener en cuenta muchos elementos al completar un cuadro.,ஒரு ஓவியர் ஒரு ஓவியத்தை முடிக்கும்போது பல கூறுகளை மனதில் கொள்ள வேண்டும்.,Bir ressam bir resmi tamamlarken pek çok unsuru aklında tutmak zorundadır.,Người họa sĩ phải ghi nhớ nhiều yếu tố khi hoàn thành một bức tranh.,चित्रकला पूर्ण करताना चित्रकाराने अनेक घटक लक्षात ठेवले पाहिजेत.
A parrot is a bird that lives in warm and tropical regions.,'n Papegaai is 'n voël wat in warm en tropiese streke woon.,Een papegaai is een vogel die leeft in warme en tropische gebieden.,طوطی پرنده ای است که در مناطق گرم و گرمسیری زندگی می کند.,Un perroquet est un oiseau qui vit dans les régions chaudes et tropicales.,"Papūga yra paukštis, gyvenantis šiltuose ir atogrąžų regionuose.",En papegøye er en fugl som lever i varme og tropiske strøk.,Un papagal este o pasăre care trăiește în regiuni calde și tropicale.,Un loro es un ave que vive en regiones cálidas y tropicales.,கிளி என்பது சூடான மற்றும் வெப்பமண்டல பகுதிகளில் வாழும் ஒரு பறவை.,"Papağan, sıcak ve tropikal bölgelerde yaşayan bir kuştur.",Vẹt là loài chim sống ở vùng ấm áp và nhiệt đới.,पोपट हा एक पक्षी आहे जो उष्ण आणि उष्णकटिबंधीय प्रदेशात राहतो.
A peach is an orange-yellow fruit with a characteristic smell.,'n Perske is 'n oranje-geel vrug met 'n kenmerkende reuk.,Een perzik is een oranjegele vrucht met een karakteristieke geur.,هلو میوه ای زرد نارنجی با بوی مشخص است.,La pêche est un fruit jaune orangé avec une odeur caractéristique.,"Persikas yra oranžinės geltonos spalvos vaisius, turintis būdingą kvapą.",En fersken er en oransje-gul frukt med en karakteristisk lukt.,O piersică este un fruct galben-portocaliu cu un miros caracteristic.,El melocotón es una fruta de color amarillo anaranjado con un olor característico.,ஒரு பீச் ஒரு ஆரஞ்சு-மஞ்சள் பழம் ஒரு சிறப்பியல்பு மணம் கொண்டது.,"Şeftali, kendine özgü bir kokusu olan turuncu-sarı renkte bir meyvedir.",Đào là loại quả có màu vàng cam và có mùi đặc trưng.,पीच हे वैशिष्ट्यपूर्ण वास असलेले केशरी-पिवळे फळ आहे.
A range of mountains forms due to tectonic plate collision.,'n Reeks berge vorm as gevolg van tektoniese plaatbotsing.,Door de botsing van tektonische platen ontstaat een bergketen.,مجموعه ای از کوه ها به دلیل برخورد صفحات تکتونیکی شکل می گیرد.,Une chaîne de montagnes se forme à la suite d'une collision de plaques tectoniques.,Kalnų grandinė susidaro dėl tektoninių plokščių susidūrimo.,En rekke fjell dannes på grunn av tektonisk platekollisjon.,O serie de munți se formează din cauza coliziunii plăcilor tectonice.,Una cadena montañosa se forma debido a la colisión de placas tectónicas.,டெக்டோனிக் தட்டு மோதலின் காரணமாக மலைகளின் தொடர் உருவாகிறது.,Tektonik levha çarpışmaları sonucu bir dizi dağ oluşur.,Một dãy núi hình thành do sự va chạm của các mảng kiến ​​tạo.,टेक्टोनिक प्लेटच्या टक्करमुळे पर्वतांची श्रेणी तयार होते.
A raven is a large black bird that thrives in many climates.,'n Kraai is 'n groot swart voël wat in baie klimate floreer.,Een raaf is een grote zwarte vogel die in veel klimaten voorkomt.,زاغ پرنده سیاه رنگ بزرگی است که در بسیاری از اقلیم ها رشد می کند.,Le corbeau est un grand oiseau noir qui prospère dans de nombreux climats.,"Varnas yra didelis juodas paukštis, klestintis daugelyje klimato sąlygų.",En ravn er en stor svart fugl som trives i mange klimaer.,Un corb este o pasăre neagră mare care prosperă în multe climate.,El cuervo es un pájaro negro grande que prospera en muchos climas.,"ஒரு காக்கை ஒரு பெரிய கருப்பு பறவை, இது பல காலநிலைகளில் செழித்து வளரும்.","Kuzgun, birçok iklimde yaşayabilen büyük, siyah bir kuştur.",Quạ là loài chim lớn màu đen sinh sống ở nhiều vùng khí hậu.,कावळा हा एक मोठा काळा पक्षी आहे जो अनेक हवामानात वाढतो.
A refrigerator is a cooling device used to contain and preserve food.,'n Yskas is 'n verkoelingstoestel wat gebruik word om voedsel te bevat en te bewaar.,Een koelkast is een koelapparaat dat gebruikt wordt om voedsel te bewaren en te koelen.,یخچال یک وسیله خنک کننده است که برای نگهداری و نگهداری مواد غذایی استفاده می شود.,Un réfrigérateur est un appareil de refroidissement utilisé pour contenir et conserver les aliments.,"Šaldytuvas yra aušinimo įrenginys, naudojamas maistui laikyti ir konservuoti.",Et kjøleskap er en kjøleenhet som brukes til å inneholde og konservere mat.,Un frigider este un dispozitiv de răcire folosit pentru a conține și a conserva alimentele.,Un refrigerador es un dispositivo de enfriamiento utilizado para contener y conservar alimentos.,குளிர்சாதனப்பெட்டி என்பது உணவைப் பாதுகாக்கவும் பாதுகாக்கவும் பயன்படும் குளிரூட்டும் சாதனம்.,"Buzdolabı, yiyecekleri saklamak ve muhafaza etmek için kullanılan bir soğutma cihazıdır.",Tủ lạnh là thiết bị làm mát dùng để chứa và bảo quản thực phẩm.,रेफ्रिजरेटर हे अन्न ठेवण्यासाठी आणि संरक्षित करण्यासाठी वापरले जाणारे शीतलक उपकरण आहे.
A rifle is a firearm that rests on the shoulder and has a barrel with twisting grooves.,'n Geweer is 'n vuurwapen wat op die skouer rus en 'n loop met kronkelende groewe het.,Een geweer is een vuurwapen dat op de schouder rust en een loop heeft met gedraaide groeven.,تفنگ سلاح گرمی است که بر روی شانه قرار می گیرد و دارای لوله ای با شیارهای چرخان است.,Un fusil est une arme à feu qui repose sur l'épaule et qui possède un canon avec des rainures torsadées.,"Šautuvas yra šaunamasis ginklas, kuris remiasi į petį ir turi vamzdį su besisukančiomis grioveliais.",En rifle er et skytevåpen som hviler på skulderen og har en løpet med vridende riller.,O pușcă este o armă de foc care se sprijină pe umăr și are o țeavă cu caneluri de răsucire.,Un rifle es un arma de fuego que se apoya sobre el hombro y tiene un cañón con ranuras retorcidas.,ஒரு துப்பாக்கி என்பது தோளில் தங்கியிருக்கும் ஒரு துப்பாக்கியாகும் மற்றும் முறுக்கும் பள்ளங்களைக் கொண்ட ஒரு பீப்பாய் உள்ளது.,"Tüfek, omuza yaslanan ve namlusunda bükülebilen oluklar bulunan bir ateşli silahtır.",Súng trường là loại súng cầm trên vai và có nòng súng có rãnh xoắn.,रायफल एक बंदुक आहे जी खांद्यावर असते आणि वळणा-या खोबणीसह बॅरल असते.
A saw is a tool that uses a hard blade or abrasive wire to cut hard materials.,'n Saag is 'n gereedskap wat 'n harde lem of skuurdraad gebruik om harde materiaal te sny.,Een zaag is een gereedschap dat gebruikmaakt van een hard zaagblad of schuurdraad om harde materialen te zagen.,اره ابزاری است که از یک تیغه سخت یا سیم ساینده برای برش مواد سخت استفاده می کند.,Une scie est un outil qui utilise une lame dure ou un fil abrasif pour couper des matériaux durs.,"Pjūklas yra įrankis, kuris naudoja kietą geležtę arba abrazyvinę viela kietoms medžiagoms pjauti.",En sag er et verktøy som bruker et hardt blad eller slipetråd for å kutte harde materialer.,Un ferăstrău este o unealtă care folosește o lamă tare sau o sârmă abrazivă pentru a tăia materiale dure.,Una sierra es una herramienta que utiliza una hoja dura o un alambre abrasivo para cortar materiales duros.,ரம்பம் என்பது கடினமான பொருட்களை வெட்டுவதற்கு கடினமான கத்தி அல்லது சிராய்ப்பு கம்பியைப் பயன்படுத்தும் ஒரு கருவியாகும்.,"Testere, sert malzemeleri kesmek için sert bir bıçak veya aşındırıcı tel kullanan bir araçtır.",Cưa là một dụng cụ sử dụng lưỡi cưa cứng hoặc dây mài mòn để cắt các vật liệu cứng.,सॉ हे एक साधन आहे जे कठोर सामग्री कापण्यासाठी कठोर ब्लेड किंवा अपघर्षक वायर वापरते.
A scientist creates hypotheses and does experiments to test them.,'n Wetenskaplike skep hipoteses en doen eksperimente om dit te toets.,Een wetenschapper creëert hypothesen en voert experimenten uit om deze te testen.,یک دانشمند فرضیه هایی ایجاد می کند و برای آزمایش آنها آزمایش هایی انجام می دهد.,Un scientifique crée des hypothèses et réalise des expériences pour les tester.,"Mokslininkas kuria hipotezes ir atlieka eksperimentus, kad jas patikrintų.",En vitenskapsmann lager hypoteser og gjør eksperimenter for å teste dem.,Un om de știință creează ipoteze și face experimente pentru a le testa.,Un científico crea hipótesis y realiza experimentos para probarlas.,ஒரு விஞ்ஞானி கருதுகோள்களை உருவாக்கி அவற்றைச் சோதிக்கும் சோதனைகளைச் செய்கிறார்.,Bir bilim insanı hipotezler oluşturur ve bunları test etmek için deneyler yapar.,Nhà khoa học đưa ra giả thuyết và tiến hành thí nghiệm để kiểm tra chúng.,एक शास्त्रज्ञ गृहीतके तयार करतो आणि त्यांची चाचणी घेण्यासाठी प्रयोग करतो.
A scientist studies and produces new knowledge about the physical world.,'n Wetenskaplike bestudeer en produseer nuwe kennis oor die fisiese wêreld.,Een wetenschapper bestudeert de fysieke wereld en produceert nieuwe kennis over deze wereld.,یک دانشمند به مطالعه و تولید دانش جدید در مورد جهان فیزیکی می پردازد.,Un scientifique étudie et produit de nouvelles connaissances sur le monde physique.,Mokslininkas studijuoja ir kuria naujas žinias apie fizinį pasaulį.,En forsker studerer og produserer ny kunnskap om den fysiske verden.,Un om de știință studiază și produce noi cunoștințe despre lumea fizică.,Un científico estudia y produce nuevos conocimientos sobre el mundo físico.,ஒரு விஞ்ஞானி இயற்பியல் உலகத்தைப் பற்றிய புதிய அறிவைப் படித்து உருவாக்குகிறார்.,Bilim insanı fiziksel dünyayı inceler ve yeni bilgiler üretir.,Nhà khoa học nghiên cứu và đưa ra kiến ​​thức mới về thế giới vật chất.,एक वैज्ञानिक भौतिक जगाचा अभ्यास करतो आणि नवीन ज्ञान तयार करतो.
A screwdriver is a tool for inserting and tightening screws into something.,’n Skroewedraaier is ’n hulpmiddel om skroewe in iets in te sit en vas te draai.,Een schroevendraaier is een gereedschap waarmee je schroeven in iets kunt draaien en vastdraaien.,پیچ گوشتی ابزاری برای قرار دادن و سفت کردن پیچ ها در چیزی است.,Un tournevis est un outil permettant d'insérer et de serrer des vis dans quelque chose.,"Atsuktuvas yra įrankis, skirtas varžtams į ką nors įkišti ir priveržti.",En skrutrekker er et verktøy for å sette inn og stramme skruer i noe.,O șurubelniță este un instrument pentru introducerea și strângerea șuruburilor în ceva.,Un destornillador es una herramienta para insertar y apretar tornillos en algo.,ஸ்க்ரூடிரைவர் என்பது திருகுகளைச் செருகுவதற்கும் இறுக்குவதற்கும் ஒரு கருவியாகும்.,"Tornavida, vidaları bir şeye yerleştirmeye ve sıkmaya yarayan bir araçtır.",Tua vít là dụng cụ dùng để lắp và vặn chặt ốc vít vào vật gì đó.,स्क्रू ड्रायव्हर हे एखाद्या गोष्टीमध्ये स्क्रू घालण्याचे आणि घट्ट करण्याचे साधन आहे.
A shark is a large fish with a cartilage skeleton.,'n Haai is 'n groot vis met 'n kraakbeenskelet.,Een haai is een grote vis met een skelet van kraakbeen.,کوسه ماهی بزرگی است که اسکلت غضروفی دارد.,Un requin est un gros poisson avec un squelette cartilagineux.,Ryklys yra didelė žuvis su kremzlės skeletu.,En hai er en stor fisk med et bruskskjelett.,Un rechin este un pește mare cu un schelet de cartilaj.,Un tiburón es un pez grande con un esqueleto de cartílago.,சுறா என்பது குருத்தெலும்பு எலும்புக்கூட்டுடன் கூடிய பெரிய மீன்.,Köpek balığı kıkırdak iskelete sahip büyük bir balıktır.,Cá mập là loài cá lớn có bộ xương sụn.,शार्क हा उपास्थि सांगाडा असलेला एक मोठा मासा आहे.
"A ship can be powered in the ocean by sails, steam, or diesel engines.","'n Skip kan in die see aangedryf word deur seile, stoom- of dieselenjins.","Een schip kan op de oceaan worden voortbewogen door zeilen, stoom of dieselmotoren.",یک کشتی می تواند در اقیانوس با بادبان، بخار یا موتورهای دیزلی حرکت کند.,"Un navire peut être propulsé dans l'océan par des voiles, de la vapeur ou des moteurs diesel.","Laivas vandenyne gali būti varomas burėmis, garo ar dyzeliniais varikliais.","Et skip kan drives i havet av seil, damp eller dieselmotorer.","O navă poate fi alimentată în ocean cu pânze, cu abur sau motoare diesel.","Un barco puede ser propulsado en el océano por velas, vapor o motores diésel.","பாய்மரம், நீராவி அல்லது டீசல் என்ஜின்கள் மூலம் ஒரு கப்பலை கடலில் இயக்க முடியும்.","Bir gemi okyanusta yelken, buhar veya dizel motorlarla çalıştırılabilir.","Một con tàu có thể di chuyển trên biển bằng động cơ buồm, động cơ hơi nước hoặc động cơ diesel.","जहाज समुद्रात पाल, वाफे किंवा डिझेल इंजिनद्वारे चालवले जाऊ शकते."
A ship is a large vehicle that floats and travels on water.,'n Skip is 'n groot voertuig wat op die water dryf en beweeg.,Een schip is een groot voertuig dat drijft en over het water beweegt.,کشتی وسیله نقلیه بزرگی است که شناور است و روی آب حرکت می کند.,Un navire est un grand véhicule qui flotte et se déplace sur l’eau.,"Laivas yra didelė transporto priemonė, kuri plūduriuoja ir keliauja vandeniu.",Et skip er et stort kjøretøy som flyter og reiser på vann.,O navă este un vehicul mare care plutește și călătorește pe apă.,Un barco es un vehículo grande que flota y viaja sobre el agua.,கப்பல் என்பது தண்ணீரில் மிதந்து பயணிக்கும் பெரிய வாகனம்.,"Gemi, su üzerinde yüzen ve hareket eden büyük bir araçtır.",Tàu là một phương tiện lớn có thể nổi và di chuyển trên mặt nước.,जहाज हे एक मोठे वाहन आहे जे पाण्यावर तरंगते आणि प्रवास करते.
"A shoe is clothing for the foot, with a sole, an outsole and a heel.","'n Skoen is klere vir die voet, met 'n sool, 'n buitesool en 'n hak.","Een schoen is een kledingstuk voor de voet, bestaande uit een zool, een buitenzool en een hak.",کفش لباسی است برای پا، با زیره، زیره و پاشنه.,"Une chaussure est un vêtement pour le pied, avec une semelle, une semelle extérieure et un talon.","Batai yra apranga pėdai, su padu, padu ir kulnu.","En sko er klær for foten, med en såle, en yttersåle og en hæl.","Un pantof este îmbrăcăminte pentru picior, cu talpă, talpă exterioară și călcâi.","Un zapato es una prenda de vestir para el pie, con una suela, una suela exterior y un tacón.","ஒரு ஷூ என்பது காலுக்கான ஆடை, ஒரு அடி, ஒரு அவுட்சோல் மற்றும் ஒரு குதிகால்.","Ayakkabı, taban, dış taban ve topuktan oluşan ayağa giyilen bir giysidir.","Giày là trang phục dành cho bàn chân, có đế, đế ngoài và gót.","जूता म्हणजे पायासाठी कपडे, ज्यामध्ये सोल, आउटसोल आणि टाच असते."
A single raspberry consists of many small fruits joined together.,'n Enkele framboos bestaan ​​uit baie klein vrugte wat saamgevoeg is.,Eén framboos bestaat uit vele kleine vruchtjes die aan elkaar vastzitten.,یک تمشک منفرد شامل بسیاری از میوه های کوچک است که به هم متصل شده اند.,Une seule framboise est composée de plusieurs petits fruits réunis entre eux.,"Vieną avietę sudaro daug mažų vaisių, sujungtų tarpusavyje.",Et enkelt bringebær består av mange små frukter som er satt sammen.,O singură zmeură este formată din multe fructe mici unite între ele.,Una sola frambuesa se compone de muchos frutos pequeños unidos entre sí.,ஒரு ராஸ்பெர்ரி பல சிறிய பழங்களை ஒன்றாக இணைக்கிறது.,"Tek bir ahududu, bir araya gelmiş birçok küçük meyveden oluşur.",Một quả mâm xôi bao gồm nhiều quả nhỏ ghép lại với nhau.,एकाच रास्पबेरीमध्ये अनेक लहान फळे एकत्र जोडलेली असतात.
A sneaker is a shoe for sports and athletic activity.,'n Sneaker is 'n skoen vir sport en atletiese aktiwiteit.,Een sneaker is een schoen die gebruikt wordt bij sport en atletische activiteiten.,کفش ورزشی کفشی برای ورزش و فعالیت های ورزشی است.,Une sneaker est une chaussure destinée au sport et aux activités athlétiques.,"Sneaker yra batai, skirti sportui ir sportinei veiklai.",En sneaker er en sko for sport og atletisk aktivitet.,Un adidași este un pantof pentru sport și activitate atletică.,Una zapatilla es un calzado para practicar deportes y actividades atléticas.,ஒரு ஸ்னீக்கர் என்பது விளையாட்டு மற்றும் தடகள நடவடிக்கைகளுக்கான ஒரு காலணி.,"Spor ayakkabı, spor ve atletik aktivitelerde kullanılan bir ayakkabıdır.",Giày thể thao là loại giày dành cho các hoạt động thể thao và vận động viên.,स्नीकर हा खेळ आणि ऍथलेटिक क्रियाकलापांसाठी एक जोडा आहे.
A soldier fights using weapons such as rifles and grenades.,’n Soldaat veg met wapens soos gewere en granate.,Een soldaat vecht met wapens zoals geweren en granaten.,یک سرباز با استفاده از سلاح هایی مانند تفنگ و نارنجک می جنگد.,Un soldat se bat en utilisant des armes telles que des fusils et des grenades.,"Kareivis kovoja naudodamas ginklus, tokius kaip šautuvai ir granatos.",En soldat kjemper med våpen som rifler og granater.,Un soldat luptă folosind arme precum puști și grenade.,Un soldado lucha utilizando armas como rifles y granadas.,ஒரு சிப்பாய் துப்பாக்கிகள் மற்றும் கையெறி குண்டுகள் போன்ற ஆயுதங்களைப் பயன்படுத்தி சண்டையிடுகிறார்.,Bir asker tüfek ve el bombası gibi silahlar kullanarak savaşır.,Một người lính chiến đấu bằng vũ khí như súng trường và lựu đạn.,एक सैनिक रायफल आणि ग्रेनेड यांसारखी शस्त्रे वापरून लढतो.
"A soldier in the militia must wear a uniform, usually camouflage.","’n Soldaat in die burgermag moet ’n uniform dra, gewoonlik kamoefleer.","Een soldaat in de militie moet een uniform dragen, meestal een camouflage.",یک سرباز در شبه نظامیان باید یونیفرم بپوشد، معمولاً استتار.,"Un soldat de la milice doit porter un uniforme, généralement de camouflage.","Milicijos karys privalo dėvėti uniformą, dažniausiai kamufliažinę.","En soldat i militsen må ha uniform, vanligvis kamuflasje.","Un soldat din miliție trebuie să poarte o uniformă, de obicei camuflaj.","Un soldado en la milicia debe llevar un uniforme, generalmente de camuflaje.","போராளிக் குழுவில் உள்ள ஒரு சிப்பாய் சீருடை அணிய வேண்டும், பொதுவாக உருமறைப்பு.",Milislerdeki askerlerin genellikle kamuflaj olan üniforma giymeleri gerekir.,"Người lính trong lực lượng dân quân phải mặc quân phục, thường là quân phục ngụy trang.","मिलिशियामधील सैनिकाने गणवेश, सामान्यतः क्लृप्ती परिधान करणे आवश्यक आहे."
A soldier is a member of the national armed forces who fights on land.,'n Soldaat is 'n lid van die nasionale gewapende magte wat op land veg.,Een soldaat is een lid van de nationale strijdkrachten die op het land vecht.,سرباز یکی از اعضای نیروهای مسلح ملی است که در زمین می جنگد.,Un soldat est un membre des forces armées nationales qui combat sur terre.,"Karys yra nacionalinių ginkluotųjų pajėgų narys, kovojantis sausumoje.",En soldat er et medlem av de nasjonale væpnede styrkene som kjemper på land.,Un soldat este un membru al forțelor armate naționale care luptă pe uscat.,Un soldado es un miembro de las fuerzas armadas nacionales que lucha en tierra.,ஒரு சிப்பாய் நிலத்தில் போராடும் தேசிய ஆயுதப் படைகளின் உறுப்பினர்.,"Asker, karada savaşan ulusal silahlı kuvvetlere mensup bir üyedir.",Người lính là thành viên của lực lượng vũ trang quốc gia chiến đấu trên bộ.,सैनिक हा राष्ट्रीय सशस्त्र दलाचा सदस्य असतो जो जमिनीवर लढतो.
"A swamp is covered with shallow water, mud and vegetation.","'n Moeras is bedek met vlak water, modder en plantegroei.","Een moeras is bedekt met ondiep water, modder en vegetatie.",یک باتلاق با آب کم عمق، گل و لای و پوشش گیاهی پوشیده شده است.,"Un marais est recouvert d’eau peu profonde, de boue et de végétation.","Pelkė yra padengta sekliu vandeniu, purvu ir augalija.","En sump er dekket med grunt vann, gjørme og vegetasjon.","O mlaștină este acoperită cu apă puțin adâncă, noroi și vegetație.","Un pantano está cubierto de agua poco profunda, barro y vegetación.","ஒரு சதுப்பு நிலம் ஆழமற்ற நீர், சேறு மற்றும் தாவரங்களால் மூடப்பட்டிருக்கும்.","Bataklık sığ su, çamur ve bitki örtüsüyle kaplıdır.","Đầm lầy được bao phủ bởi nước nông, bùn và thảm thực vật.","एक दलदल उथळ पाणी, चिखल आणि वनस्पतींनी व्यापलेले आहे."
A sweater is a heavy garment worn on the torso for warmth.,'n Trui is 'n swaar kledingstuk wat op die bolyf gedra word vir warmte.,Een trui is een zwaar kledingstuk dat je op het lichaam draagt ​​om warm te blijven.,ژاکت لباس سنگینی است که برای گرما روی تنه پوشیده می شود.,Un pull est un vêtement lourd porté sur le torse pour se réchauffer.,"Megztinis yra sunkus drabužis, dėvimas ant liemens, kad sušiltų.",En genser er et tungt plagg som bæres på overkroppen for varme.,Un pulover este o îmbrăcăminte grea purtată pe trunchi pentru căldură.,Un suéter es una prenda pesada que se usa sobre el torso para abrigarse.,ஸ்வெட்டர் என்பது உடல் சூடாக இருக்கும் ஒரு கனமான ஆடையாகும்.,"Kazak, vücut sıcaklığını korumak için giyilen ağır bir giysidir.",Áo len là loại áo dày mặc ở thân để giữ ấm.,स्वेटर हा एक जड पोशाख आहे जो शरीरावर उबदारपणासाठी परिधान केला जातो.
A sweater that opens down the front is called a cardigan.,"'n Trui wat aan die voorkant oopmaak, word 'n vest genoem.","Een trui die aan de voorkant open is, wordt een vest genoemd.",ژاکتی که از جلو باز می شود، ژاکت کش باف پشمی نامیده می شود.,Un pull qui s'ouvre sur le devant s'appelle un cardigan.,Iš priekio atsiveriantis megztinis vadinamas megztiniu.,En genser som åpner seg foran kalles en cardigan.,Un pulover care se deschide în față se numește cardigan.,Un suéter que se abre por delante se llama cárdigan.,முன்புறம் திறக்கும் ஸ்வெட்டர் கார்டிகன் என்று அழைக்கப்படுகிறது.,Önden açılan kazaklara hırka denir.,Một chiếc áo len hở ở phía trước được gọi là áo cardigan.,समोरच्या खाली उघडलेल्या स्वेटरला कार्डिगन म्हणतात.
A table is a piece of furniture with a flat surface and legs.,'n Tafel is 'n meubelstuk met 'n plat oppervlak en pote.,Een tafel is een meubelstuk met een plat oppervlak en poten.,میز مبلمانی است که دارای سطح و پایه های صاف است.,Une table est un meuble doté d'une surface plane et de pieds.,Stalas – tai baldas plokščiu paviršiumi ir kojomis.,Et bord er et møbel med flat overflate og ben.,O masă este o piesă de mobilier cu o suprafață plană și picioare.,Una mesa es un mueble con una superficie plana y patas.,ஒரு மேஜை என்பது ஒரு தட்டையான மேற்பரப்பு மற்றும் கால்கள் கொண்ட தளபாடங்கள் ஆகும்.,"Masa, düz bir yüzeye ve ayaklara sahip bir mobilya parçasıdır.",Bàn là một đồ nội thất có bề mặt phẳng và chân.,टेबल म्हणजे सपाट पृष्ठभाग आणि पाय असलेला फर्निचरचा तुकडा.
